,School Name,School ID,Network,Category,Category Breakdown,Grade,Year,Read,Math,Science,English,Composite,Read.1,Math.1,Science.1,English.1,Composite.1,Community
104,BOWEN HS,610323.0,Network 12,Overall,Overall,11th Grade,2016.0,14.6,15.3,15.2,13.3,14.6,72,72,72,72,72,46
113,BRONZEVILLE HS,610381.0,Network 9,Overall,Overall,11th Grade,2016.0,14.6,15.5,15.7,13.7,14.8,99,99,99,99,99,38
129,BROOKS HS,609726.0,ISP,Overall,Overall,11th Grade,2016.0,23.1,21.1,22.0,24.0,22.5,202,202,202,202,202,49
133,CAMELOT - CHICAGO EXCEL HS,400147.0,Options,Overall,Overall,11th Grade,2016.0,,,,,,9,9,9,9,9,75
136,CAMELOT - EXCEL ENGLEWOOD HS,610565.0,Options,Overall,Overall,11th Grade,2016.0,13.2,14.9,13.8,12.4,13.6,19,19,19,19,19,68
138,CAMELOT - EXCEL SOUTHWEST HS,400176.0,Options,Overall,Overall,11th Grade,2016.0,13.8,14.6,13.4,12.8,13.6,16,16,16,16,16,0
140,CAMELOT - EXCEL WOODLAWN HS,400175.0,Options,Overall,Overall,11th Grade,2016.0,13.6,14.6,14.7,12.1,13.8,13,13,13,13,13,0
141,CAMELOT SAFE - GARFIELD HS,610585.0,Options,Overall,Overall,11th Grade,2016.0,,,,,,3,3,3,3,3,0
143,CAMELOT SAFE HS,610573.0,Options,Overall,Overall,11th Grade,2016.0,,,,,,4,4,4,4,4,32
159,CARVER MILITARY HS,609760.0,Service Leadership Academies,Overall,Overall,11th Grade,2016.0,17.8,17.7,18.9,17.6,18.0,111,111,111,111,111,54
162,CATALYST - MARIA,400115.0,Charter,Overall,Overall,11th Grade,2016.0,15.2,16.2,16.1,15.9,15.9,122,122,122,122,122,0
175,CHICAGO ACADEMY HS,610340.0,AUSL,Overall,Overall,11th Grade,2016.0,18.3,18.8,18.4,18.2,18.5,125,125,125,125,125,17
191,CHICAGO AGRICULTURE HS,609753.0,Network 10,Overall,Overall,11th Grade,2016.0,20.4,19.0,20.3,21.3,20.2,154,154,154,154,154,74
196,CHICAGO ARTS HS,400022.0,Contract,Overall,Overall,11th Grade,2016.0,20.3,18.4,18.8,20.1,19.4,135,135,135,135,135,35
205,CHICAGO MATH & SCIENCE HS,400035.0,Charter,Overall,Overall,11th Grade,2016.0,20.5,22.1,21.0,19.8,20.8,86,86,86,86,86,1
220,CHICAGO MILITARY HS,609754.0,Service Leadership Academies,Overall,Overall,11th Grade,2016.0,16.5,16.7,17.9,16.6,16.9,61,61,61,61,61,35
225,CHICAGO TECH HS,400091.0,Contract,Overall,Overall,11th Grade,2016.0,15.8,16.1,16.4,14.3,15.6,90,90,90,90,90,28
232,CHICAGO VIRTUAL,400036.0,Charter,Overall,Overall,11th Grade,2016.0,19.4,17.7,18.2,19.8,18.8,23,23,23,23,23,28
248,CHICAGO VOCATIONAL HS,609674.0,Network 12,Overall,Overall,11th Grade,2016.0,15.4,15.5,17.0,14.3,15.6,205,206,205,206,205,45
251,CICS - CHICAGOQUEST HS,400113.0,Charter,Overall,Overall,11th Grade,2016.0,16.0,15.6,17.5,16.9,16.5,47,47,47,47,47,8
259,CICS - ELLISON HS,400032.0,Charter,Overall,Overall,11th Grade,2016.0,16.1,15.9,16.8,16.2,16.3,79,79,79,79,79,71
265,CICS - HAWKINS HS,400108.0,Charter,Overall,Overall,11th Grade,2016.0,13.9,16.1,14.3,12.5,14.3,12,14,12,14,12,54
281,CICS - LONGWOOD,400033.0,Charter,Overall,Overall,11th Grade,2016.0,14.9,15.5,15.8,15.2,15.4,94,94,94,94,94,73
294,CICS - NORTHTOWN HS,400034.0,Charter,Overall,Overall,11th Grade,2016.0,19.6,19.0,19.9,19.3,19.4,203,203,203,203,203,13
307,CLARK HS,610244.0,Network 3,Overall,Overall,11th Grade,2016.0,16.3,15.7,17.5,15.7,16.3,106,106,106,106,106,25
323,CLEMENTE HS,609759.0,Network 5,Overall,Overall,11th Grade,2016.0,15.3,15.5,16.5,14.5,15.4,115,115,115,115,115,24
330,COLLINS HS,610499.0,AUSL,Overall,Overall,11th Grade,2016.0,14.9,15.2,15.3,13.5,14.7,59,59,59,59,59,29
338,COMMUNITY SERVICES WEST HS,400038.0,Options,Overall,Overall,11th Grade,2016.0,,,,,,5,5,5,5,5,29
354,CORLISS HS,609761.0,Network 13,Overall,Overall,11th Grade,2016.0,14.4,14.8,14.8,13.3,14.3,85,85,85,85,85,50
370,CRANE MEDICAL HS,610561.0,Network 6,Overall,Overall,11th Grade,2016.0,18.4,18.5,19.4,18.3,18.7,120,120,120,120,120,28
386,CURIE HS,609756.0,Network 8,Overall,Overall,11th Grade,2016.0,17.2,18.1,18.0,16.4,17.4,633,633,633,633,633,57
397,DEVRY HS,610402.0,Network 4,Overall,Overall,11th Grade,2016.0,21.0,20.8,20.9,21.6,21.1,100,100,100,100,100,5
398,DISNEY II HS,610564.0,ISP,Overall,Overall,11th Grade,2016.0,19.7,18.7,19.0,19.3,19.2,115,115,115,115,115,16
409,DOUGLASS HS,610245.0,Network 3,Overall,Overall,11th Grade,2016.0,13.1,14.9,14.4,12.0,13.6,45,45,45,45,45,25
425,DUNBAR HS,609676.0,Network 9,Overall,Overall,11th Grade,2016.0,14.1,15.1,15.5,12.8,14.4,160,160,158,160,158,35
443,EPIC HS,400094.0,Charter,Overall,Overall,11th Grade,2016.0,16.7,16.8,18.6,18.0,17.5,85,85,85,85,85,46
459,FARRAGUT HS,609704.0,Network 7,Overall,Overall,11th Grade,2016.0,15.0,16.4,15.9,13.7,15.2,193,193,193,193,193,30
475,FENGER HS,609705.0,Network 13,Overall,Overall,11th Grade,2016.0,14.8,15.4,15.0,13.5,14.7,53,53,53,53,53,49
495,FOREMAN HS,609708.0,Network 3,Overall,Overall,11th Grade,2016.0,15.2,16.4,15.9,13.9,15.3,207,207,207,207,207,15
511,GAGE PARK HS,609709.0,Network 8,Overall,Overall,11th Grade,2016.0,14.6,15.0,14.8,13.2,14.4,79,79,79,79,79,63
513,GOODE HS,610558.0,Network 10,Overall,Overall,11th Grade,2016.0,16.3,16.9,16.7,16.5,16.6,189,189,189,189,189,70
529,HANCOCK HS,609694.0,Network 8,Overall,Overall,11th Grade,2016.0,17.0,16.8,17.4,16.4,16.9,231,231,231,231,231,62
545,HARLAN HS,609710.0,Network 12,Overall,Overall,11th Grade,2016.0,15.0,15.3,16.5,14.2,15.2,160,160,160,160,160,49
561,HARPER HS,609711.0,Network 11,Overall,Overall,11th Grade,2016.0,14.8,15.0,14.7,13.9,14.6,44,45,44,45,44,67
576,HIRSCH HS,609712.0,Network 12,Overall,Overall,11th Grade,2016.0,13.1,14.4,14.2,10.8,13.1,37,37,37,37,37,69
592,HOPE HS,609768.0,Network 11,Overall,Overall,11th Grade,2016.0,14.8,15.4,15.5,13.0,14.7,32,32,32,32,32,68
608,HUBBARD HS,609741.0,Network 10,Overall,Overall,11th Grade,2016.0,17.2,17.3,17.4,16.5,17.1,348,348,348,348,348,65
624,HYDE PARK HS,609713.0,Network 9,Overall,Overall,11th Grade,2016.0,15.3,16.2,16.4,14.8,15.7,125,125,125,125,125,42
633,INFINITY HS,610384.0,Network 7,Overall,Overall,11th Grade,2016.0,17.8,19.2,20.1,17.9,18.8,81,81,81,81,81,30
637,INSTITUTO - HEALTH,400104.0,Charter,Overall,Overall,11th Grade,2016.0,16.6,16.9,17.3,16.1,16.7,208,208,208,208,208,31
641,INSTITUTO - LOZANO HS,400148.0,Options,Overall,Overall,11th Grade,2016.0,13.9,15.1,14.3,12.1,13.9,15,15,15,15,15,31
643,INSTITUTO - LOZANO MASTERY HS,400164.0,Options,Overall,Overall,11th Grade,2016.0,,,,,,7,7,7,7,7,31
644,INTRINSIC HS,400162.0,Charter,Overall,Overall,11th Grade,2016.0,18.7,20.1,18.8,19.3,19.2,131,131,131,131,131,32
656,JEWISH CHILD FAMILY THERAPEUTIC HS,800011.0,,Overall,Overall,11th Grade,2016.0,14.7,15.1,,13.5,,10,11,9,11,9,0
672,JONES HS,609678.0,ISP,Overall,Overall,11th Grade,2016.0,26.8,25.7,25.4,26.9,26.2,435,435,435,435,435,32
688,JUAREZ HS,609764.0,ISP,Overall,Overall,11th Grade,2016.0,17.0,16.4,16.9,15.7,16.5,298,298,298,298,298,31
704,JULIAN HS,609762.0,Network 13,Overall,Overall,11th Grade,2016.0,14.5,15.4,15.4,13.3,14.7,190,190,190,190,190,73
720,KELLY HS,609715.0,Network 8,Overall,Overall,11th Grade,2016.0,16.6,18.0,17.2,16.7,17.1,482,482,481,481,480,58
736,KELVYN PARK HS,609716.0,Network 4,Overall,Overall,11th Grade,2016.0,15.1,15.8,15.6,13.5,15.0,114,114,114,114,114,20
752,KENNEDY HS,609718.0,Network 10,Overall,Overall,11th Grade,2016.0,18.2,18.2,18.3,17.6,18.1,350,350,350,350,350,56
768,KENWOOD HS,609746.0,Network 9,Overall,Overall,11th Grade,2016.0,18.3,19.4,19.3,19.9,19.2,378,378,378,378,378,39
781,KING HS,609751.0,Network 9,Overall,Overall,11th Grade,2016.0,20.5,19.7,20.8,21.3,20.6,127,127,127,127,127,39
797,LAKE VIEW HS,609719.0,Network 2,Overall,Overall,11th Grade,2016.0,17.7,17.7,18.1,16.6,17.5,292,292,292,292,292,6
813,LANE TECH HS,609720.0,Network 4,Overall,Overall,11th Grade,2016.0,26.1,25.3,24.9,26.0,25.6,853,853,853,853,853,5
815,LAWRENCE HALL THERAPEUTIC HS,800012.0,,Overall,Overall,11th Grade,2016.0,,,,,,6,6,6,6,6,0
817,LEGAL PREP HS,400119.0,Charter,Overall,Overall,11th Grade,2016.0,15.9,16.4,16.7,15.0,16.0,34,34,34,34,34,26
833,LINCOLN PARK HS,609738.0,ISP,Overall,Overall,11th Grade,2016.0,22.6,22.3,22.1,22.2,22.3,544,544,544,544,544,7
842,LINDBLOM HS,610391.0,Network 11,Overall,Overall,11th Grade,2016.0,23.9,22.2,22.5,23.1,22.9,206,206,206,206,206,67
846,LITTLE BLACK PEARL HS,400137.0,Options,Overall,Overall,11th Grade,2016.0,14.1,15.1,13.8,13.0,14.0,41,41,41,41,41,39
847,MAGIC JOHNSON - BRAINERD HS,610581.0,Options,Overall,Overall,11th Grade,2016.0,14.1,15.4,14.9,12.5,14.2,14,14,14,14,14,0
849,MAGIC JOHNSON - ENGLEWOOD HS,610582.0,Options,Overall,Overall,11th Grade,2016.0,14.4,14.6,14.8,13.2,14.2,25,25,25,25,25,0
851,MAGIC JOHNSON - HUMBOLDT PK HS,610580.0,Options,Overall,Overall,11th Grade,2016.0,16.1,15.6,15.2,14.3,15.4,37,37,36,40,36,0
854,MAGIC JOHNSON - N LAWNDALE HS,610566.0,Options,Overall,Overall,11th Grade,2016.0,12.5,14.5,12.9,11.5,12.9,11,11,11,11,11,29
857,MAGIC JOHNSON - ROSELAND HS,610567.0,Options,Overall,Overall,11th Grade,2016.0,14.7,15.1,15.5,14.5,15.0,23,23,23,23,23,43
873,MANLEY HS,609722.0,Network 5,Overall,Overall,11th Grade,2016.0,13.8,14.7,15.1,12.7,14.1,53,53,52,53,52,27
875,MARINE LEADERSHIP AT AMES HS,609780.0,Service Leadership Academies,Overall,Overall,11th Grade,2016.0,17.9,19.0,18.6,18.3,18.4,79,79,79,79,79,0
896,MARSHALL HS,609723.0,ISP,Overall,Overall,11th Grade,2016.0,15.6,16.1,16.8,14.8,15.8,69,69,69,69,69,27
912,MATHER HS,609724.0,Network 2,Overall,Overall,11th Grade,2016.0,17.4,18.2,18.1,15.9,17.4,307,307,307,307,307,2
928,MORGAN PARK HS,609725.0,Network 10,Overall,Overall,11th Grade,2016.0,17.3,17.4,17.7,16.8,17.3,254,254,254,254,254,75
937,MULTICULTURAL HS,610385.0,Network 7,Overall,Overall,11th Grade,2016.0,14.1,15.2,15.5,13.6,14.6,66,66,66,66,66,30
938,NOBLE - BAKER HS,400157.0,Charter,Overall,Overall,11th Grade,2016.0,18.3,20.7,19.3,19.9,19.6,58,58,58,58,58,46
943,NOBLE - BULLS HS,400097.0,Charter,Overall,Overall,11th Grade,2016.0,20.0,23.4,21.7,21.8,21.7,244,244,244,244,244,28
944,NOBLE - BUTLER HS,400156.0,Charter,Overall,Overall,11th Grade,2016.0,18.0,19.9,20.1,18.8,19.2,78,78,78,78,78,50
950,NOBLE - COMER,400052.0,Charter,Overall,Overall,11th Grade,2016.0,16.9,18.6,18.2,17.8,17.9,146,146,146,146,146,69
952,NOBLE - DRW HS,400118.0,Charter,Overall,Overall,11th Grade,2016.0,18.5,18.1,18.7,19.2,18.6,124,124,124,124,124,29
959,NOBLE - GOLDER HS,400053.0,Charter,Overall,Overall,11th Grade,2016.0,18.3,20.9,19.6,19.3,19.5,153,153,153,153,153,24
961,NOBLE - HANSBERRY HS,400117.0,Charter,Overall,Overall,11th Grade,2016.0,18.7,18.8,19.3,19.7,19.1,149,149,149,149,149,71
965,NOBLE - JOHNSON HS,400106.0,Charter,Overall,Overall,11th Grade,2016.0,17.0,18.5,19.1,17.9,18.2,166,166,166,167,166,68
970,NOBLE - MUCHIN HS,400098.0,Charter,Overall,Overall,11th Grade,2016.0,21.1,22.2,21.8,22.0,21.8,204,204,204,204,204,32
985,NOBLE - NOBLE HS,400051.0,Charter,Overall,Overall,11th Grade,2016.0,20.0,22.4,20.6,21.7,21.2,149,149,149,149,149,24
993,NOBLE - PRITZKER HS,400054.0,Charter,Overall,Overall,11th Grade,2016.0,21.4,22.9,21.7,21.6,21.9,214,214,214,214,214,20
1001,NOBLE - RAUNER HS,400055.0,Charter,Overall,Overall,11th Grade,2016.0,19.8,22.4,20.6,20.9,20.9,141,141,141,141,141,24
1008,NOBLE - ROWE CLARK HS,400056.0,Charter,Overall,Overall,11th Grade,2016.0,17.5,19.3,19.0,18.1,18.5,127,127,127,127,127,23
1014,NOBLE - UIC HS,400057.0,Charter,Overall,Overall,11th Grade,2016.0,21.2,23.3,21.9,22.4,22.2,191,191,191,191,191,28
1030,NORTH LAWNDALE - CHRISTIANA HS,400058.0,Charter,Overall,Overall,11th Grade,2016.0,14.4,16.5,15.8,14.4,15.3,92,92,91,92,91,29
1037,NORTH LAWNDALE - COLLINS HS,400059.0,Charter,Overall,Overall,11th Grade,2016.0,13.9,15.5,15.7,12.7,14.5,79,80,79,80,79,29
1047,NORTH-GRAND HS,609691.0,Network 5,Overall,Overall,11th Grade,2016.0,15.1,16.3,17.3,14.8,15.9,198,198,198,198,198,23
1063,NORTHSIDE PREP HS,609749.0,Network 1,Overall,Overall,11th Grade,2016.0,30.2,28.9,28.7,30.1,29.5,253,253,253,253,253,13
1068,OGDEN HS,610529.0,Network 6,Overall,Overall,11th Grade,2016.0,20.3,18.5,20.1,19.8,19.7,84,84,84,84,84,24
1071,OMBUDSMAN - NORTHWEST HS,610569.0,Options,Overall,Overall,11th Grade,2016.0,16.2,15.6,15.5,15.2,15.6,21,21,21,21,21,66
1073,OMBUDSMAN - SOUTH HS,610570.0,Options,Overall,Overall,11th Grade,2016.0,14.4,14.7,14.4,12.8,14.1,45,46,45,46,45,9
1076,OMBUDSMAN - WEST HS,610571.0,Options,Overall,Overall,11th Grade,2016.0,14.5,15.3,15.0,12.7,14.4,32,32,32,32,32,3
1088,ORR HS,610389.0,AUSL,Overall,Overall,11th Grade,2016.0,13.7,15.1,15.0,12.8,14.2,103,104,103,104,103,23
1093,PATHWAYS - ASHBURN HS,610557.0,Options,Overall,Overall,11th Grade,2016.0,16.2,15.0,15.0,14.2,15.1,31,31,31,31,31,70
1096,PATHWAYS - AVONDALE HS,610568.0,Options,Overall,Overall,11th Grade,2016.0,14.7,15.4,14.6,13.0,14.4,39,39,39,39,39,21
1098,PATHWAYS - BRIGHTON PARK HS,400173.0,Options,Overall,Overall,11th Grade,2016.0,14.9,15.6,14.3,13.7,14.6,58,58,58,58,58,0
1112,PAYTON HS,609680.0,ISP,Overall,Overall,11th Grade,2016.0,30.1,29.2,28.9,30.3,29.6,221,221,221,221,221,8
1126,PEACE AND EDUCATION HS,610386.0,Network 6,Overall,Overall,11th Grade,2016.0,14.2,15.2,14.0,11.7,13.8,43,43,43,43,43,61
1142,PERSPECTIVES - JOSLIN HS,400064.0,Charter,Overall,Overall,11th Grade,2016.0,17.0,17.2,17.6,18.0,17.5,49,49,49,49,49,33
1150,PERSPECTIVES - LEADERSHIP HS,400061.0,Charter,Overall,Overall,11th Grade,2016.0,16.3,16.4,17.6,17.1,16.8,76,76,76,76,76,71
1156,PERSPECTIVES - MATH & SCI HS,400066.0,Charter,Overall,Overall,11th Grade,2016.0,17.3,16.7,18.4,16.7,17.3,91,91,91,91,91,35
1164,PERSPECTIVES - TECH HS,400062.0,Charter,Overall,Overall,11th Grade,2016.0,15.8,16.6,17.4,16.4,16.5,99,99,99,99,99,71
1180,PHILLIPS HS,609727.0,AUSL,Overall,Overall,11th Grade,2016.0,14.6,15.6,15.9,14.6,15.2,105,105,105,105,105,35
1194,PHOENIX MILITARY HS,610304.0,Service Leadership Academies,Overall,Overall,11th Grade,2016.0,18.8,18.6,19.1,19.8,19.0,120,120,120,120,120,28
1203,PROLOGUE - EARLY COLLEGE HS,400070.0,Options,Overall,Overall,11th Grade,2016.0,14.9,15.2,14.7,13.1,14.5,11,11,11,11,11,24
1209,PROLOGUE - JOHNSTON HS,400109.0,Options,Overall,Overall,11th Grade,2016.0,13.5,14.5,14.9,11.5,13.6,17,17,17,17,17,73
1212,PROLOGUE - WINNIE MANDELA HS,610574.0,Options,Overall,Overall,11th Grade,2016.0,,,,,,2,2,2,2,2,43
1228,PROSSER HS,609679.0,Network 3,Overall,Overall,11th Grade,2016.0,18.3,17.8,18.9,17.5,18.1,324,324,324,324,324,19
1238,RABY HS,610334.0,Network 5,Overall,Overall,11th Grade,2016.0,14.6,15.2,15.1,13.0,14.5,80,80,80,80,80,27
1254,RICHARDS HS,609682.0,Network 8,Overall,Overall,11th Grade,2016.0,14.4,15.7,15.2,12.9,14.6,47,47,47,47,47,61
1263,RICKOVER MILITARY HS,610390.0,Service Leadership Academies,Overall,Overall,11th Grade,2016.0,18.1,18.0,18.1,18.0,18.0,88,88,88,88,88,77
1279,ROBESON HS,609707.0,Network 11,Overall,Overall,11th Grade,2016.0,12.4,14.7,13.7,12.2,13.2,35,35,35,35,35,68
1295,ROOSEVELT HS,609728.0,Network 1,Overall,Overall,11th Grade,2016.0,15.6,16.5,16.0,14.1,15.5,273,273,273,273,273,14
1311,SCHURZ HS,609729.0,Network 1,Overall,Overall,11th Grade,2016.0,16.2,17.1,16.8,15.3,16.4,429,429,429,429,429,16
1327,SENN HS,609730.0,Network 2,Overall,Overall,11th Grade,2016.0,18.3,18.4,18.5,17.9,18.3,338,338,338,338,338,77
1351,SIMEON HS,609692.0,Network 11,Overall,Overall,11th Grade,2016.0,15.8,16.1,17.1,15.9,16.2,310,310,309,310,309,44
1367,SIMPSON HS,609750.0,Network 6,Overall,Overall,11th Grade,2016.0,17.1,16.4,17.5,15.7,16.7,18,18,18,18,18,28
1376,SOCIAL JUSTICE HS,610383.0,Network 7,Overall,Overall,11th Grade,2016.0,15.4,16.0,16.0,15.0,15.6,70,70,70,70,70,30
1380,SOLORIO HS,610543.0,AUSL,Overall,Overall,11th Grade,2016.0,17.7,19.4,18.6,17.7,18.4,250,250,250,250,250,63
1382,SOUTH CENTRAL THERAPEUTIC HS,800014.0,,Overall,Overall,11th Grade,2016.0,,,,,,4,4,4,4,4,0
1385,SOUTH SHORE INTL HS,610547.0,Network 12,Overall,Overall,11th Grade,2016.0,17.7,17.5,18.2,18.3,17.9,131,131,131,131,131,43
1395,SPRY HS,610357.0,Network 7,Overall,Overall,11th Grade,2016.0,,,,,,9,9,9,9,9,30
1411,STEINMETZ HS,609732.0,Network 3,Overall,Overall,11th Grade,2016.0,16.1,17.0,17.5,14.7,16.3,341,341,340,341,340,19
1427,SULLIVAN HS,609733.0,Network 2,Overall,Overall,11th Grade,2016.0,14.7,16.2,16.2,13.4,15.1,105,105,105,105,105,1
1443,TAFT HS,609734.0,Network 1,Overall,Overall,11th Grade,2016.0,19.4,18.7,19.0,18.8,18.9,647,647,647,647,647,10
1450,TEAM HS,610506.0,Network 11,Overall,Overall,11th Grade,2016.0,14.4,15.1,15.1,12.6,14.3,58,58,58,58,58,68
1466,TILDEN HS,609735.0,Network 8,Overall,Overall,11th Grade,2016.0,14.8,15.5,14.6,12.9,14.5,54,54,54,54,54,61
1474,U OF C - WOODLAWN HS,400077.0,Charter,Overall,Overall,11th Grade,2016.0,16.6,17.0,18.3,17.0,17.2,72,72,72,72,72,42
1476,UCAN THERAPEUTIC HS,800016.0,,Overall,Overall,11th Grade,2016.0,,,,,,5,5,5,5,5,0
1482,UNO - GARCIA HS,400085.0,Charter,Overall,Overall,11th Grade,2016.0,17.7,17.3,18.2,17.6,17.7,136,136,136,136,136,57
1483,UNO - ROGERS PARK,400121.0,Charter,Overall,Overall,11th Grade,2016.0,16.6,17.4,16.9,15.6,16.6,49,49,49,49,49,0
1484,UNO - SOCCER HS,400149.0,Charter,Overall,Overall,11th Grade,2016.0,16.2,17.5,16.9,15.8,16.6,155,155,155,155,155,63
1493,UPLIFT HS,610394.0,Network 2,Overall,Overall,11th Grade,2016.0,15.2,16.3,16.4,14.3,15.6,63,63,63,63,63,3
1497,URBAN PREP - BRONZEVILLE HS,400105.0,Charter,Overall,Overall,11th Grade,2016.0,15.9,17.2,16.6,16.7,16.6,93,93,93,93,93,35
1505,URBAN PREP - ENGLEWOOD HS,400086.0,Charter,Overall,Overall,11th Grade,2016.0,16.1,16.5,17.5,16.6,16.7,82,82,82,82,82,68
1510,URBAN PREP - WEST HS,400102.0,Charter,Overall,Overall,11th Grade,2016.0,15.9,16.3,17.1,17.1,16.6,73,73,73,73,73,28
1516,VOISE HS,610518.0,Network 3,Overall,Overall,11th Grade,2016.0,14.6,15.4,15.7,12.5,14.6,55,55,55,55,55,25
1532,VON STEUBEN HS,609737.0,Network 1,Overall,Overall,11th Grade,2016.0,21.0,21.6,21.1,21.3,21.3,367,367,367,367,367,13
1548,WASHINGTON HS,609739.0,Network 13,Overall,Overall,11th Grade,2016.0,17.7,17.2,18.0,17.7,17.7,331,331,331,331,331,52
1564,WELLS HS,609740.0,Network 6,Overall,Overall,11th Grade,2016.0,15.3,16.7,15.5,14.0,15.4,108,108,108,108,108,24
1575,WESTINGHOUSE HS,609693.0,Network 5,Overall,Overall,11th Grade,2016.0,20.7,20.7,21.1,20.3,20.7,263,263,263,263,263,23
1582,WILLIAMS HS,610380.0,Network 9,Overall,Overall,11th Grade,2016.0,16.6,17.0,17.4,17.3,17.1,41,41,41,41,41,38
1591,WORLD LANGUAGE HS,610392.0,Network 7,Overall,Overall,11th Grade,2016.0,16.9,17.3,17.9,17.6,17.5,78,78,78,78,78,30
1594,YCCS - ADDAMS,400134.0,Options,Overall,Overall,11th Grade,2016.0,12.9,14.9,12.6,12.1,13.1,14,14,14,14,14,31
1598,YCCS - ASPIRA PANTOJA,400125.0,Options,Overall,Overall,11th Grade,2016.0,14.6,14.7,14.2,12.6,14.1,41,41,40,41,40,21
1602,YCCS - ASSOCIATION HOUSE,400126.0,Options,Overall,Overall,11th Grade,2016.0,13.0,15.0,13.5,11.6,13.3,29,29,29,29,29,23
1606,YCCS - AUSTIN CAREER,400127.0,Options,Overall,Overall,11th Grade,2016.0,11.8,15.0,13.7,10.5,12.8,10,10,10,10,10,25
1610,YCCS - CAMPOS,400131.0,Options,Overall,Overall,11th Grade,2016.0,14.1,15.5,13.8,12.6,14.0,29,29,29,29,29,24
1614,YCCS - CCA ACADEMY,400128.0,Options,Overall,Overall,11th Grade,2016.0,13.2,14.4,14.2,11.9,13.4,38,38,38,38,38,29
1618,YCCS - CHATHAM,400150.0,Options,Overall,Overall,11th Grade,2016.0,12.5,14.6,14.2,11.9,13.3,25,25,25,25,25,44
1622,YCCS - HOUSTON,400129.0,Options,Overall,Overall,11th Grade,2016.0,12.5,14.2,12.2,11.6,12.6,35,35,35,35,35,38
1626,YCCS - INNOVATIONS,400133.0,Options,Overall,Overall,11th Grade,2016.0,13.9,14.4,14.1,12.0,13.6,30,30,30,30,30,37
1630,YCCS - LATINO YOUTH,400135.0,Options,Overall,Overall,11th Grade,2016.0,14.3,15.1,14.0,12.3,13.9,68,68,68,68,68,30
1634,YCCS - MCKINLEY,400124.0,Options,Overall,Overall,11th Grade,2016.0,13.8,15.0,14.8,12.0,13.9,38,38,38,38,38,35
1637,YCCS - OLIVE HARVEY,400136.0,Options,Overall,Overall,11th Grade,2016.0,15.2,15.3,15.5,14.4,15.1,48,48,48,48,48,50
1641,YCCS - SCHOLASTIC ACHIEVEMENT,400123.0,Options,Overall,Overall,11th Grade,2016.0,13.2,14.4,14.0,11.7,13.3,41,41,41,41,41,25
1644,YCCS - SULLIVAN,400139.0,Options,Overall,Overall,11th Grade,2016.0,13.3,14.3,13.4,11.0,13.1,34,35,34,35,34,45
1648,YCCS - TRUMAN,400141.0,Options,Overall,Overall,11th Grade,2016.0,16.6,16.2,16.8,14.6,16.0,56,56,56,56,56,3
1655,YCCS - WEST TOWN,400143.0,Options,Overall,Overall,11th Grade,2016.0,12.6,14.4,13.8,11.2,13.2,19,19,18,19,18,23
1659,YCCS - WESTSIDE HOLISTIC,400144.0,Options,Overall,Overall,11th Grade,2016.0,14.5,14.5,15.1,12.3,14.1,31,31,31,31,31,25
1663,YCCS - YOUTH CONNECTION,400145.0,Options,Overall,Overall,11th Grade,2016.0,14.1,14.6,14.6,11.4,13.6,67,67,67,67,67,35
1667,YCCS - YOUTH DEVELOPMENT,400130.0,Options,Overall,Overall,11th Grade,2016.0,12.4,14.3,13.3,10.2,12.5,26,26,26,26,26,71
