School ID,Name of School,Street Address,City,State,ZIP Code,Phone Number,Website,Blue Ribbon Award,CPS Performance Policy Level,CPS Performance Policy Status,Probation Length,"My Voice, My School Overall Rating",Student Response Rate,Teacher Response Rate,Involved Family,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safe,School Community,Parent-Teacher Partnership,Quality of Facilities,Healthy Schools Certification,Creative Schools Certification,NWEA Reading Growth Percentile All Grades,NWEA Reading Growth Percentile Grade 3,NWEA Reading Growth Percentile Grade 4,NWEA Reading Growth Percentile Grade 5,NWEA Reading Growth Percentile Grade 6,NWEA Reading Growth Percentile Grade 7,NWEA Reading Growth Percentile Grade 8,NWEA Math Growth All Grades,NWEA Math Growth Grade 3,NWEA Math Growth Grade 4,NWEA Math Growth Grade 5,NWEA Math Growth Grade 6,NWEA Math Growth Grade 7,NWEA Math Growth Grade 8,NWEA Reading Attainment Percentile All Grades,NWEA Reading Attainment Percentile Grade 2,NWEA Reading Attainment Percentile Grade 3,NWEA Reading Attainment Percentile Grade 4,NWEA Reading Attainment Percentile Grade 5,NWEA Reading Attainment Percentile Grade 6,NWEA Reading Attainment Percentile Grade 7,NWEA Reading Attainment Percentile Grade 8,NWEA Math Attainment Percentile All Grades,NWEA Math Attainment Percentile Grade 2,NWEA Math Attainment Percentile Grade 3,NWEA Math Attainment Percentile Grade 4,NWEA Math Attainment Percentile Grade 5,NWEA Math Attainment Percentile Grade 6,NWEA Math Attainment Percentile Grade 7,NWEA Math Attainment Percentile Grade 8,EPAS Growth Percentile,EXPLORE Growth Percentile Grade 9,Plan Growth Percentile Grade 10,ACT Growth Percentile Grade 11,EPAS Attainment Percentile,EXPLORE Attainment Percentile Grade 9,PLAN Attainment Percentile Grade 10,Grade ACT Attainment Percentile Grade 11,EXPLORE Spring 2013 Average Grade 9,EXPLORE Spring 2013 Average Grade 10,EXPLORE Fall 2011 Average Grade 9,PLAN Fall 2012 Average Grade 10,ACT Spring 2013 Average Grade 11,Freshmen-on-Track Rate Percentage 2013,Freshmen-on-Track Rate Percentage 2012,4-Year Graduation Rate Percentage 2013,4-Year Graduation Rate Percentage 2012,5-Year Graduation Rate Percentage 2013,5-Year Graduation Rate Percentage 2012,College Enrollment Rate Percentage 2013,College Enrollment Rate Percentage 2012,College Persistence Rate Percentage 2013,College Persistence Rate Percentage 2012,Suspensions Per 100 2013,Suspensions Per 100 2012,Percentage of Misconducts Resulting in Suspension 2013,Percentage of Misconducts Resulting in Suspension 2012,Average Length of Suspensions 2013,Average Length of Suspensions 2012,Student Attendance Percentage 2013,Student Attendance Percentage 2012,Teacher Attendance Percentage 2013,Teacher Attendance Percentage 2012,Gr3-8 On-Track Percentage 2013,One-Year DropOut Rate Percentage 2013,One-Year DropOut Rate Percentage 2012,X Coordinate,Y Coordinate,Longitude,Latitude,Location
400036,Chicago Virtual Charter High School,38 S Peoria St,Chicago,IL,60607,(312) 267-4486,http://www.chicagovcs.org,,LEVEL 2,NOT APPLICABLE,,ORGANIZED,22.2%,81.5%,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,50,20,42,40,34,48,38,15.7,17.3,14.8,16.8,18.3,,,9.7%,20%,20%,41.7%,,,,,,,,,,,95.3%,95.3%,,,,12%,25%,1170387.8250000000,1899811.7810000000,41.8805724,-87.64981004,"(-87.64981004, 41.8805724)"
400038,Community Services West Academy,1239 S Pulaski Rd,Chicago,IL,60623,(773) 522-5133,http://www.cps.edu,,,,,ORGANIZED,79.6%,100%,NEUTRAL,NEUTRAL,NEUTRAL,VERY STRONG,VERY STRONG,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,,,13.1,,,,,,,14.3%,7.5%,,,,0.6,,,,,79.1%,71.3%,,,,29.5%,13.8%,1149956.1130000000,1893970.7500000000,41.86496597,-87.72498573,"(-87.72498573, 41.86496597)"
400149,UNO Soccer Academy High School,5025 S St Louis Ave,Chicago,IL,60632,,http://www.cps.edu,,NOT ENOUGH DATA,NOT APPLICABLE,,NOT ENOUGH DATA,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,,,,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153935.7350000000,1870964.7180000000,41.80175621,-87.71098826,"(-87.71098826, 41.80175621)"
400042,Henry Ford Academy Power House Charter HS,931 S Homan Ave,Chicago,IL,60624,(773) 533-7600,http://www.powerhousehigh.org,,LEVEL 2,NOT APPLICABLE,,ORGANIZED,59.7%,53.3%,NEUTRAL,NEUTRAL,WEAK,VERY STRONG,VERY STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,58,17,,,17,,,12.5,13.6,16.3,,,17.5%,71.2%,72.1%,,62.3%,,,,,,,,,,89.1%,86.2%,,,,17.1%,5.8%,1153893.0930000000,1895583.8260000000,41.86931497,-87.71048996,"(-87.71048996, 41.86931497)"
400051,Noble Street Charter - Noble Street College Prep,1010 N Noble St,Chicago,IL,60642,(773) 862-1449,http://www.noblenetwork.com,,LEVEL 1,NOT APPLICABLE,,WELL-ORGANIZED,93.3%,82.8%,STRONG,STRONG,VERY STRONG,STRONG,STRONG,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,50,58,,,58,,,14.6,17.1,20.4,,,73.3%,84.1%,85.6%,84.1%,77.4%,83.8%,66.7%,75%,,,,,,,95.4%,96.4%,,,,0.6%,2.3%,1166831.3440000000,1906934.5580000000,41.9001948,-87.66266462,"(-87.66266462, 41.9001948)"
400052,Noble Street Charter - Gary Comer College Prep,7131 S South Chicago Avenue,Chicago,IL,60619,(773) 729-3969,http://www.garycomercollegeprep.org,,LEVEL 2,NOT APPLICABLE,,WELL-ORGANIZED,72.4%,82.6%,STRONG,STRONG,VERY STRONG,VERY STRONG,VERY STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,99,,,,99,99,,99,,,,99,99,,91,,,,,89,91,,95,,,,,90,95,,84,,,84,46,,,46,,,13.9,16.2,19.3,,,69.1%,68.8%,73.7%,,95%,,,,,,,,,,94.8%,94.6%,,,,3.2%,3.7%,1183071.1930000000,1857905.2990000000,41.76529142,-87.60454374,"(-87.60454374, 41.76529142)"
400053,Noble Street Charter - Golder College Prep,1454 W Superior St,Chicago,IL,60642,(312) 265-9925,http://www.goldercollegeprep.org,,LEVEL 1,NOT APPLICABLE,,WELL-ORGANIZED,70.7%,50%,NEUTRAL,STRONG,VERY STRONG,NEUTRAL,VERY STRONG,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,42,59,,,59,,,15.2,17.8,20.5,,,74.4%,78.6%,83.3%,84.2%,79.6%,77.2%,73%,,,,,,,,95.4%,95.1%,,,,1.6%,4.1%,1166346.0520000000,1905150.4240000000,41.89530941,-87.6644982,"(-87.6644982, 41.89530941)"
400054,Noble Street Charter - Pritzker College Prep,4131 W Cortland Ave,Chicago,IL,60639,(773) 394-2848,http://www.pritzkercollegeprep.org/,,LEVEL 1,NOT APPLICABLE,,WELL-ORGANIZED,89.9%,80.4%,NEUTRAL,STRONG,VERY STRONG,NEUTRAL,STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,5,65,,,65,,,14.5,17.8,20.9,,,81.1%,84%,90.5%,84.5%,85.2%,75.2%,65.1%,72.6%,,,,,,,95.1%,96%,,,,0.4%,2.5%,1148433.7780000000,1912261.3100000000,41.91518673,-87.73010225,"(-87.73010225, 41.91518673)"
400055,Noble Street Charter - Rauner College Prep,1337 W Ohio,Chicago,IL,60642,(312) 226-5345,http://www.raunercollegeprep.org/,,LEVEL 2,NOT APPLICABLE,,WELL-ORGANIZED,88.4%,80.5%,NEUTRAL,STRONG,STRONG,STRONG,STRONG,STRONG,NEUTRAL,STRONG,STRONG,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,97,55,,,55,,,14.8,16.8,20.1,,,78.3%,77.7%,83.7%,85.4%,78%,70.6%,79.2%,89.6%,,,,,,,94.3%,95.4%,,,,1.2%,4.3%,1167337.2930000000,1904096.8870000000,41.89239717,-87.66088796,"(-87.66088796, 41.89239717)"
400056,Noble Street Charter - Rowe-Clark Math & Sci Acad,3645 W Chicago Ave,Chicago,IL,60651,(773) 242-2212,http://www.roweclark.org/,,LEVEL 2,NOT APPLICABLE,,WELL-ORGANIZED,80.7%,88.4%,NEUTRAL,STRONG,STRONG,NEUTRAL,STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,27,36,,,36,,,13.6,16.4,18.3,,,64.8%,69.3%,75.3%,72.6%,72%,82.8%,63%,,,,,,,,93.3%,94.1%,,,,1.7%,4.6%,1151765.9050000000,1905050.5610000000,41.89533478,-87.7180503,"(-87.7180503, 41.89533478)"
400057,Noble Street Charter - UIC College Prep,1231 S Damen Ave,Chicago,IL,60608,(312) 768-4858,http://www.uiccollegeprep.org/,,LEVEL 1,NOT APPLICABLE,,WELL-ORGANIZED,58%,72.7%,VERY STRONG,STRONG,VERY STRONG,VERY STRONG,VERY STRONG,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,34,72,,,72,,,15.2,17.6,21.7,,,74.1%,76.5%,84.3%,,55.4%,,,,,,,,,,95.7%,95.6%,,,,1.9%,3.3%,1163276.8850000000,1894372.8860000000,41.86580003,-87.67607361,"(-87.67607361, 41.86580003)"
400058,North Lawndale College Prep Charter - Christiana,1616 S Spaulding Ave,Chicago,IL,60623,(773) 542-1490,http://www.nlcphs.org,,LEVEL 2,NOT APPLICABLE,,WELL-ORGANIZED,73.7%,79.4%,NEUTRAL,NEUTRAL,STRONG,STRONG,STRONG,NEUTRAL,NEUTRAL,STRONG,STRONG,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,50,0,,16,21,12,17,14.9,14.3,13.5,14.8,16.3,,,71.7%,70.3%,74.8%,79.7%,63.8%,61.9%,65.7%,61.5%,3.9,3.3,73.9%,,6.6,,97.4%,95.8%,,,,2.1%,3.8%,1154593.0870000000,1891648.4200000000,41.85850181,-87.70802532,"(-87.70802532, 41.85850181)"
400059,North Lawndale College Prep Charter - Collins,1313 S Sacramento Dr,Chicago,IL,60623,(773) 542-6766,http://www.nlcphs.org,,LEVEL 2,NOT APPLICABLE,,ORGANIZED,93.8%,94.4%,NEUTRAL,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,24,8,,14,9,18,16,13.6,15,13.9,15,16.1,,,69.4%,65.3%,68.3%,77.2%,68.2%,65.7%,76.1%,,1.3,,,,,,93.7%,96.2%,,,,1.3%,4.5%,1156217.2400000000,1893722.8610000000,41.86416169,-87.70200761,"(-87.70200761, 41.86416169)"
400061,Perspectives Charter Leadership Academy HS,8131 S May St,Chicago,IL,60620,(773) 358-6100,http://www.perspectivescs.org,,LEVEL 2,NOT APPLICABLE,,ORGANIZED,79.3%,79%,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,STRONG,WEAK,STRONG,VERY STRONG,NEUTRAL,NOT CERTIFIED,INCOMPLETE DATA,42,,,,32,21,71,36,,,,26,52,40,21,,,,,16,16,31,15,,,,,14,17,22,18,59,1,42,17,14,19,16,14.2,15.1,12.6,14.7,16.2,,,60.4%,58.1%,66.2%,68.9%,77.3%,76.5%,70.5%,60%,,,,,,,98.2%,93.5%,,,,8.1%,10.5%,1170110.8660000000,1850746.0400000000,41.74593699,-87.65225489,"(-87.65225489, 41.74593699)"
400062,Perspectives Charter - Calumet Technology,8131 S May St,Chicago,IL,60620,(773) 358-6120,http://www.perspectivescs.org,,LEVEL 3,NOT APPLICABLE,,PARTIALLY ORGANIZED,88.2%,85%,NEUTRAL,NEUTRAL,STRONG,WEAK,WEAK,WEAK,STRONG,STRONG,NEUTRAL,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,41,5,34,15,12,18,14,14,15,13.1,15,15.9,,,56.2%,62.8%,69.6%,68.9%,67%,75.6%,69.6%,64.5%,,,,,,,99%,92.1%,,,,8.8%,8.6%,1170110.8660000000,1850746.0400000000,41.74593699,-87.65225489,"(-87.65225489, 41.74593699)"
400102,Urban Prep Academy for Young Men - West,1326 W 14th Pl,Chicago,IL,60608,(773) 534-8860,http://www.urbanprep.org/,,LEVEL 3,NOT APPLICABLE,,ORGANIZED,36.1%,100%,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,19,,,13.1,15.7,16.6,,,51.2%,,,,,,,,,,,,,,91.5%,90.5%,,,,9%,8.9%,1167633.7130000000,1893228.6020000000,41.86256737,-87.66011242,"(-87.66011242, 41.86256737)"
400064,Perspectives Charter - Rodney D Joslin,1930 S Archer Ave,Chicago,IL,60616,(312) 225-7400,http://www.perspectivescs.org,,LEVEL 2,NOT APPLICABLE,,ORGANIZED,83.5%,95.7%,STRONG,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,STRONG,STRONG,NEUTRAL,NOT CERTIFIED,INCOMPLETE DATA,50,,,,6,92,49,8,,,,4,79,7,23,,,,,24,26,25,11,,,,,8,17,19,68,97,20,42,41,33,51,38,15.8,17.5,14.3,17.7,18.5,,,83%,51%,78.8%,84.3%,67.6%,75.6%,61.8%,80.6%,,,,,,,98.4%,96%,,,,4.5%,3.8%,1176256.8930000000,1890916.6470000000,41.85603329,-87.62852775,"(-87.62852775, 41.85603329)"
400066,Perspectives Charter - IIT Math & Science Academy,3663 S Wabash Ave,Chicago,IL,60653,(773) 358-6800,http://www.perspectivescs.org,,LEVEL 2,NOT APPLICABLE,,MODERATELY ORGANIZED,71.7%,95.6%,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,WEAK,NEUTRAL,STRONG,STRONG,NEUTRAL,NOT CERTIFIED,INCOMPLETE DATA,3,,,,7,54,4,0,,,,0,15,2,7,,,,,5,8,12,8,,,,,3,7,27,11,24,5,34,18,13,20,20,14,15.2,13.2,14.9,16.7,,,60%,72.4%,78.1%,,70.3%,,,,,,,,,,97.7%,93.4%,,,,6.6%,7.8%,1177370.5940000000,1880635.5060000000,41.82779593,-87.62475129,"(-87.62475129, 41.82779593)"
400070,Prologue Early College High School,1135 N Cleaver Rd,Chicago,IL,60622,(773) 935-9925,http://www.cps.edu,,,,,WELL-ORGANIZED,0%,85.7%,VERY STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,VERY STRONG,VERY STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,,,12.3,13.2,13.7,,,12.9%,4.1%,6.1%,7.4%,28.9%,28.2%,37.5%,61.5%,,,,,,,52%,46.5%,,,,15%,18.7%,1166550.6420000000,1907919.0210000000,41.90290225,-87.66366742,"(-87.66366742, 41.90290225)"
