,School Name,School ID,Network,Category,Category Breakdown,Grade,Year,Read,Math,Science,English,Composite,Read.1,Math.1,Science.1,English.1,Composite.1,Community
381,CURIE HS,609756.0,Network 8,Overall,Overall,11th Grade,2011.0,16.7,17.6,17.6,15.8,16.9,846,846,846,846,846,57
392,DEVRY HS,610402.0,Network 4,Overall,Overall,11th Grade,2011.0,20.9,20.2,20.9,20.7,20.7,113,113,113,113,113,5
404,DOUGLASS HS,610245.0,Network 3,Overall,Overall,11th Grade,2011.0,15.3,15.3,15.4,13.6,14.9,96,97,95,97,95,25
420,DUNBAR HS,609676.0,Network 9,Overall,Overall,11th Grade,2011.0,15.2,15.1,15.5,13.2,14.7,345,345,345,345,345,35
435,DYETT HS,609736.0,,Overall,Overall,11th Grade,2011.0,14.3,15.2,14.8,12.0,14.1,75,75,75,75,75,40
454,FARRAGUT HS,609704.0,Network 7,Overall,Overall,11th Grade,2011.0,15.3,16.9,17.0,14.9,16.0,332,332,332,332,332,30
470,FENGER HS,609705.0,Network 13,Overall,Overall,11th Grade,2011.0,14.0,14.9,14.7,12.4,14.0,198,198,198,198,198,49
476,FORD HS,400042.0,,Overall,Overall,11th Grade,2011.0,15.6,15.3,15.7,13.7,15.1,80,80,80,80,80,29
490,FOREMAN HS,609708.0,Network 3,Overall,Overall,11th Grade,2011.0,14.8,16.4,16.0,13.9,15.3,410,410,410,410,410,15
506,GAGE PARK HS,609709.0,Network 8,Overall,Overall,11th Grade,2011.0,13.8,15.1,15.0,12.3,14.0,280,280,280,280,280,63
524,HANCOCK HS,609694.0,Network 8,Overall,Overall,11th Grade,2011.0,15.5,16.4,16.7,14.6,15.8,208,208,208,208,208,62
540,HARLAN HS,609710.0,Network 12,Overall,Overall,11th Grade,2011.0,14.9,15.1,15.6,13.4,14.7,246,249,246,249,246,49
556,HARPER HS,609711.0,Network 11,Overall,Overall,11th Grade,2011.0,14.6,15.3,15.3,12.7,14.5,142,142,142,142,142,67
571,HIRSCH HS,609712.0,Network 12,Overall,Overall,11th Grade,2011.0,14.2,14.8,14.6,12.4,14.0,112,112,112,112,112,69
587,HOPE HS,609768.0,Network 11,Overall,Overall,11th Grade,2011.0,14.4,15.7,16.1,13.9,15.0,134,134,134,134,134,68
603,HUBBARD HS,609741.0,Network 10,Overall,Overall,11th Grade,2011.0,16.9,18.0,18.2,16.4,17.4,350,350,350,350,350,65
619,HYDE PARK HS,609713.0,Network 9,Overall,Overall,11th Grade,2011.0,15.7,15.8,16.4,14.4,15.6,358,358,358,358,358,42
628,INFINITY HS,610384.0,Network 7,Overall,Overall,11th Grade,2011.0,16.1,18.5,17.6,16.3,17.1,63,63,63,63,63,30
651,JEFFERSON HS,609783.0,Network 11,Overall,Overall,11th Grade,2011.0,,,,,,2,2,2,2,2,28
667,JONES HS,609678.0,ISP,Overall,Overall,11th Grade,2011.0,24.8,24.6,23.8,26.1,24.8,190,190,190,190,190,32
683,JUAREZ HS,609764.0,ISP,Overall,Overall,11th Grade,2011.0,15.4,17.0,16.5,14.2,15.8,342,342,342,342,342,31
699,JULIAN HS,609762.0,Network 13,Overall,Overall,11th Grade,2011.0,14.9,15.6,15.3,13.2,14.7,343,343,343,343,343,73
715,KELLY HS,609715.0,Network 8,Overall,Overall,11th Grade,2011.0,16.1,17.6,17.5,17.4,17.1,644,645,644,645,644,58
731,KELVYN PARK HS,609716.0,Network 4,Overall,Overall,11th Grade,2011.0,14.8,16.0,15.6,13.3,14.9,255,255,255,255,255,20
747,KENNEDY HS,609718.0,Network 10,Overall,Overall,11th Grade,2011.0,16.4,16.7,16.8,15.8,16.4,367,367,367,367,367,56
763,KENWOOD HS,609746.0,Network 9,Overall,Overall,11th Grade,2011.0,19.2,18.9,19.5,19.1,19.2,373,373,373,373,373,39
776,KING HS,609751.0,Network 9,Overall,Overall,11th Grade,2011.0,20.5,19.6,20.5,21.4,20.5,205,205,205,205,205,39
792,LAKE VIEW HS,609719.0,Network 2,Overall,Overall,11th Grade,2011.0,17.9,18.1,18.3,16.9,17.8,306,306,306,306,306,6
808,LANE TECH HS,609720.0,Network 4,Overall,Overall,11th Grade,2011.0,23.4,23.6,23.0,23.8,23.5,972,972,972,972,972,5
828,LINCOLN PARK HS,609738.0,ISP,Overall,Overall,11th Grade,2011.0,22.0,21.2,21.4,21.9,21.6,505,505,505,505,505,7
837,LINDBLOM HS,610391.0,Network 11,Overall,Overall,11th Grade,2011.0,22.4,22.5,21.9,22.4,22.3,138,138,138,138,138,67
868,MANLEY HS,609722.0,Network 5,Overall,Overall,11th Grade,2011.0,13.5,15.1,15.3,11.6,13.9,165,164,165,164,164,27
877,MARINE MILITARY HS,610502.0,Service Leadership Academies,Overall,Overall,11th Grade,2011.0,17.5,17.8,18.5,17.2,17.7,76,76,76,76,76,28
891,MARSHALL HS,609723.0,ISP,Overall,Overall,11th Grade,2011.0,14.2,15.2,15.4,13.6,14.6,135,135,135,135,135,27
907,MATHER HS,609724.0,Network 2,Overall,Overall,11th Grade,2011.0,15.6,17.1,16.6,14.3,15.9,389,389,389,389,389,2
923,MORGAN PARK HS,609725.0,Network 10,Overall,Overall,11th Grade,2011.0,17.8,18.0,18.1,17.4,17.8,293,293,293,293,293,75
932,MULTICULTURAL HS,610385.0,Network 7,Overall,Overall,11th Grade,2011.0,15.1,16.0,16.8,14.6,15.6,65,65,65,65,65,30
945,NOBLE - COMER,400052.0,Charter,Overall,Overall,11th Grade,2011.0,19.3,20.0,20.5,20.5,20.1,109,109,109,109,109,69
954,NOBLE - GOLDER HS,400053.0,Charter,Overall,Overall,11th Grade,2011.0,19.5,20.0,19.9,20.6,20.0,116,116,116,116,116,24
980,NOBLE - NOBLE HS,400051.0,Charter,Overall,Overall,11th Grade,2011.0,19.1,21.6,20.6,21.1,20.6,135,135,135,135,135,24
988,NOBLE - PRITZKER HS,400054.0,Charter,Overall,Overall,11th Grade,2011.0,18.8,21.7,21.2,22.1,21.0,126,126,126,126,126,20
996,NOBLE - RAUNER HS,400055.0,Charter,Overall,Overall,11th Grade,2011.0,19.2,21.2,19.8,20.8,20.2,116,116,116,116,116,24
1003,NOBLE - ROWE CLARK HS,400056.0,Charter,Overall,Overall,11th Grade,2011.0,18.0,20.2,18.5,19.0,18.9,122,122,122,122,122,23
1009,NOBLE - UIC HS,400057.0,Charter,Overall,Overall,11th Grade,2011.0,19.6,23.2,20.9,20.9,21.1,153,153,153,153,153,28
1025,NORTH LAWNDALE - CHRISTIANA HS,400058.0,Charter,Overall,Overall,11th Grade,2011.0,16.3,16.9,16.5,14.7,16.1,102,102,102,102,102,29
1032,NORTH LAWNDALE - COLLINS HS,400059.0,Charter,Overall,Overall,11th Grade,2011.0,15.6,17.4,16.1,14.6,15.9,88,88,88,88,88,29
1042,NORTH-GRAND HS,609691.0,Network 5,Overall,Overall,11th Grade,2011.0,15.3,15.8,16.5,14.3,15.4,227,227,227,227,227,23
1058,NORTHSIDE PREP HS,609749.0,Network 1,Overall,Overall,11th Grade,2011.0,29.4,28.1,27.7,30.0,28.8,251,251,251,251,251,13
1083,ORR HS,610389.0,AUSL,Overall,Overall,11th Grade,2011.0,14.8,16.0,15.7,13.1,14.9,160,160,160,161,160,23
1107,PAYTON HS,609680.0,ISP,Overall,Overall,11th Grade,2011.0,27.4,26.5,25.8,28.2,27.0,220,220,220,220,220,8
1122,PEACE AND EDUCATION HS,610386.0,Network 6,Overall,Overall,11th Grade,2011.0,13.5,14.8,13.8,11.5,13.4,56,56,56,56,56,61
1137,PERSPECTIVES - JOSLIN HS,400064.0,Charter,Overall,Overall,11th Grade,2011.0,17.3,17.9,17.6,17.3,17.5,49,49,49,49,49,33
1145,PERSPECTIVES - LEADERSHIP HS,400061.0,Charter,Overall,Overall,11th Grade,2011.0,15.2,16.4,15.9,15.5,15.7,79,79,79,79,79,71
1151,PERSPECTIVES - MATH & SCI HS,400066.0,Charter,Overall,Overall,11th Grade,2011.0,17.4,17.5,18.1,16.5,17.4,70,70,70,70,70,35
1159,PERSPECTIVES - TECH HS,400062.0,Charter,Overall,Overall,11th Grade,2011.0,15.5,17.2,16.9,14.2,15.9,109,109,109,109,109,71
1175,PHILLIPS HS,609727.0,AUSL,Overall,Overall,11th Grade,2011.0,14.9,15.7,16.1,13.7,15.1,97,97,97,97,97,35
1189,PHOENIX MILITARY HS,610304.0,Service Leadership Academies,Overall,Overall,11th Grade,2011.0,18.5,18.5,18.9,18.5,18.6,102,102,102,102,102,28
1198,PROLOGUE - EARLY COLLEGE HS,400070.0,Options,Overall,Overall,11th Grade,2011.0,12.9,14.5,14.3,11.2,13.2,30,30,30,30,30,24
1204,PROLOGUE - JOHNSTON HS,400109.0,Options,Overall,Overall,11th Grade,2011.0,12.9,15.0,13.9,12.2,13.5,27,27,27,27,27,73
1223,PROSSER HS,609679.0,Network 3,Overall,Overall,11th Grade,2011.0,18.1,18.0,18.2,17.2,17.9,343,343,343,343,343,19
1233,RABY HS,610334.0,Network 5,Overall,Overall,11th Grade,2011.0,15.0,15.9,16.6,13.7,15.3,117,117,117,117,117,27
1249,RICHARDS HS,609682.0,Network 8,Overall,Overall,11th Grade,2011.0,14.0,15.5,14.8,12.2,14.1,109,109,109,109,109,61
1258,RICKOVER MILITARY HS,610390.0,Service Leadership Academies,Overall,Overall,11th Grade,2011.0,19.0,18.3,19.0,18.4,18.7,85,85,85,85,85,77
1274,ROBESON HS,609707.0,Network 11,Overall,Overall,11th Grade,2011.0,13.6,14.7,14.7,11.6,13.6,188,188,188,188,188,68
1290,ROOSEVELT HS,609728.0,Network 1,Overall,Overall,11th Grade,2011.0,15.3,16.7,15.8,14.8,15.6,252,252,252,252,252,14
1306,SCHURZ HS,609729.0,Network 1,Overall,Overall,11th Grade,2011.0,15.8,16.3,16.2,14.0,15.6,435,435,435,435,435,16
1322,SENN HS,609730.0,Network 2,Overall,Overall,11th Grade,2011.0,15.5,16.5,16.6,14.8,15.8,236,236,236,236,236,77
1331,SHABAZZ - DUSABLE HS,400073.0,Charter,Overall,Overall,11th Grade,2011.0,15.5,15.6,16.0,13.5,15.2,91,91,91,91,91,38
1346,SIMEON HS,609692.0,Network 11,Overall,Overall,11th Grade,2011.0,16.2,16.4,16.5,15.9,16.2,304,304,304,304,304,44
1362,SIMPSON HS,609750.0,Network 6,Overall,Overall,11th Grade,2011.0,14.7,14.9,15.2,13.5,14.6,39,39,39,39,39,28
1371,SOCIAL JUSTICE HS,610383.0,Network 7,Overall,Overall,11th Grade,2011.0,15.5,16.0,16.5,14.8,15.7,69,69,69,69,69,30
1390,SPRY HS,610357.0,Network 7,Overall,Overall,11th Grade,2011.0,16.3,17.6,17.6,16.1,16.9,55,55,55,55,55,30
1406,STEINMETZ HS,609732.0,Network 3,Overall,Overall,11th Grade,2011.0,15.8,16.6,16.9,14.7,16.0,409,409,409,409,409,19
1422,SULLIVAN HS,609733.0,Network 2,Overall,Overall,11th Grade,2011.0,15.2,16.4,16.1,13.8,15.4,138,139,138,139,138,1
1438,TAFT HS,609734.0,Network 1,Overall,Overall,11th Grade,2011.0,17.9,17.9,17.8,17.8,17.9,600,600,600,600,600,10
1445,TEAM HS,610506.0,Network 11,Overall,Overall,11th Grade,2011.0,14.8,16.1,15.8,14.4,15.3,92,92,92,92,92,68
1461,TILDEN HS,609735.0,Network 8,Overall,Overall,11th Grade,2011.0,13.0,15.0,14.6,11.4,13.5,132,132,132,132,132,61
1469,U OF C - WOODLAWN HS,400077.0,Charter,Overall,Overall,11th Grade,2011.0,15.9,17.3,17.1,15.5,16.4,56,56,56,56,56,42
1477,UNO - GARCIA HS,400085.0,Charter,Overall,Overall,11th Grade,2011.0,17.1,18.5,18.6,19.3,18.4,118,118,118,118,118,57
1488,UPLIFT HS,610394.0,Network 2,Overall,Overall,11th Grade,2011.0,17.0,16.3,17.7,16.6,16.9,125,125,125,125,125,3
1500,URBAN PREP - ENGLEWOOD HS,400086.0,Charter,Overall,Overall,11th Grade,2011.0,16.1,16.1,16.5,15.0,15.9,111,111,111,111,111,68
1511,VOISE HS,610518.0,Network 3,Overall,Overall,11th Grade,2011.0,14.3,15.3,15.0,13.1,14.4,118,118,118,118,118,25
1527,VON STEUBEN HS,609737.0,Network 1,Overall,Overall,11th Grade,2011.0,20.0,20.7,20.1,21.0,20.5,343,343,343,343,343,13
1543,WASHINGTON HS,609739.0,Network 13,Overall,Overall,11th Grade,2011.0,15.5,15.8,16.2,14.6,15.5,341,341,341,341,341,52
1559,WELLS HS,609740.0,Network 6,Overall,Overall,11th Grade,2011.0,15.1,15.9,15.5,13.6,15.0,147,147,147,147,147,24
1577,WILLIAMS HS,610380.0,Network 9,Overall,Overall,11th Grade,2011.0,18.1,17.1,17.6,17.3,17.5,72,72,72,72,72,38
1586,WORLD LANGUAGE HS,610392.0,Network 7,Overall,Overall,11th Grade,2011.0,15.7,15.8,16.7,16.6,16.2,95,95,95,95,95,30
1678,YOUNG HS,609755.0,ISP,Overall,Overall,11th Grade,2011.0,26.8,26.8,25.5,27.2,26.6,475,475,475,475,475,28
1692,YOUNG WOMENS HS,400087.0,Charter,Overall,Overall,11th Grade,2011.0,17.1,16.3,18.0,16.2,16.9,50,50,50,50,50,35
1718,ACE TECH HS,400010.0,Charter,Race,Hispanic,11th Grade,2011.0,15.5,17.8,17.5,15.6,16.6,37,37,37,37,37,40
1719,ACE TECH HS,400010.0,Charter,Race,Native American,11th Grade,2011.0,,,,,,1,1,1,1,1,40
1720,ACE TECH HS,400010.0,Charter,Race,Black,11th Grade,2011.0,15.1,16.6,16.9,14.6,15.8,58,58,58,58,58,40
1721,ACE TECH HS,400010.0,Charter,Race,White,11th Grade,2011.0,,,,,,7,7,7,7,7,40
1722,ACE TECH HS,400010.0,Charter,Race,Other,11th Grade,2011.0,,,,,,2,2,2,2,2,40
1838,AMUNDSEN HS,609695.0,Network 2,Race,Asian / Pacific,11th Grade,2011.0,17.1,20.3,20.1,18.2,18.9,38,38,38,38,38,4
1839,AMUNDSEN HS,609695.0,Network 2,Race,White,11th Grade,2011.0,17.4,17.0,17.7,17.8,17.5,36,36,36,36,36,4
1840,AMUNDSEN HS,609695.0,Network 2,Race,Other,11th Grade,2011.0,,,,,,5,5,5,5,5,4
1841,AMUNDSEN HS,609695.0,Network 2,Race,Black,11th Grade,2011.0,16.0,16.3,16.7,15.3,16.1,53,53,53,53,53,4
1842,AMUNDSEN HS,609695.0,Network 2,Race,Hispanic,11th Grade,2011.0,15.9,16.4,16.4,15.8,16.1,234,234,234,234,234,4
1843,AMUNDSEN HS,609695.0,Network 2,Race,Native American,11th Grade,2011.0,,,,,,1,1,1,1,1,4
1879,ASPIRA - EARLY COLLEGE HS,400013.0,Charter,Race,Black,11th Grade,2011.0,,,,,,8,8,8,8,8,21
1880,ASPIRA - EARLY COLLEGE HS,400013.0,Charter,Race,Hispanic,11th Grade,2011.0,15.8,16.4,16.3,13.9,15.6,99,99,99,99,99,21
1881,ASPIRA - EARLY COLLEGE HS,400013.0,Charter,Race,Asian / Pacific,11th Grade,2011.0,,,,,,2,2,2,2,2,21
1882,ASPIRA - EARLY COLLEGE HS,400013.0,Charter,Race,White,11th Grade,2011.0,,,,,,3,3,3,3,3,21
1923,ASPIRA CHTR - RAMIREZ HS,400015.0,,Race,Asian / Pacific,11th Grade,2011.0,,,,,,1,1,1,1,1,24
1924,ASPIRA CHTR - RAMIREZ HS,400015.0,,Race,Hispanic,11th Grade,2011.0,15.2,16.4,16.7,13.8,15.5,81,81,81,81,81,24
1925,ASPIRA CHTR - RAMIREZ HS,400015.0,,Race,White,11th Grade,2011.0,,,,,,3,3,3,3,3,24
1926,ASPIRA CHTR - RAMIREZ HS,400015.0,,Race,Black,11th Grade,2011.0,14.5,16.1,15.2,12.1,14.5,11,11,11,11,11,24
1942,AUSTIN BUS & ENTRP HS,400018.0,Network 3,Race,Black,11th Grade,2011.0,14.2,14.8,15.4,13.3,14.4,60,60,60,60,60,25
1943,AUSTIN BUS & ENTRP HS,400018.0,Network 3,Race,Hispanic,11th Grade,2011.0,,,,,,1,1,1,1,1,25
1952,AUSTIN POLY HS,610501.0,Network 3,Race,Black,11th Grade,2011.0,14.6,16.0,15.2,13.5,14.8,77,77,77,77,77,25
1953,AUSTIN POLY HS,610501.0,Network 3,Race,Hispanic,11th Grade,2011.0,,,,,,1,1,1,1,1,25
2029,BOGAN HS,609698.0,Network 10,Race,White,11th Grade,2011.0,,,,,,7,7,7,7,7,70
2030,BOGAN HS,609698.0,Network 10,Race,Hispanic,11th Grade,2011.0,15.2,16.2,16.2,14.5,15.5,158,158,158,158,158,70
2031,BOGAN HS,609698.0,Network 10,Race,Asian / Pacific,11th Grade,2011.0,,,,,,3,3,3,3,3,70
2032,BOGAN HS,609698.0,Network 10,Race,Native American,11th Grade,2011.0,,,,,,2,2,2,2,2,70
2033,BOGAN HS,609698.0,Network 10,Race,Black,11th Grade,2011.0,14.9,15.5,15.8,13.8,15.0,269,269,269,269,269,70
2034,BOGAN HS,609698.0,Network 10,Race,Other,11th Grade,2011.0,,,,,,1,1,1,1,1,70
2071,BOWEN HS,610323.0,Network 12,Race,Other,11th Grade,2011.0,,,,,,1,1,1,1,1,46
2072,BOWEN HS,610323.0,Network 12,Race,Hispanic,11th Grade,2011.0,,,,,,3,3,3,3,3,46
2073,BOWEN HS,610323.0,Network 12,Race,Black,11th Grade,2011.0,14.9,15.3,15.7,12.9,14.7,51,51,51,51,51,46
2094,BRONZEVILLE HS,610381.0,Network 9,Race,Black,11th Grade,2011.0,15.9,16.3,17.1,16.1,16.3,132,132,132,132,132,38
2144,BROOKS HS,609726.0,ISP,Race,Black,11th Grade,2011.0,22.1,21.1,21.0,21.8,21.5,151,151,151,151,151,49
2145,BROOKS HS,609726.0,ISP,Race,White,11th Grade,2011.0,,,,,,5,5,5,5,5,49
2146,BROOKS HS,609726.0,ISP,Race,Hispanic,11th Grade,2011.0,21.3,21.3,20.8,21.1,21.1,16,16,16,16,16,49
2214,CARVER MILITARY HS,609760.0,Service Leadership Academies,Race,Other,11th Grade,2011.0,,,,,,1,1,1,1,1,54
2215,CARVER MILITARY HS,609760.0,Service Leadership Academies,Race,Black,11th Grade,2011.0,16.2,16.4,18.0,15.3,16.5,62,63,62,63,62,54
2216,CARVER MILITARY HS,609760.0,Service Leadership Academies,Race,Asian / Pacific,11th Grade,2011.0,,,,,,1,1,1,1,1,54
2217,CARVER MILITARY HS,609760.0,Service Leadership Academies,Race,White,11th Grade,2011.0,,,,,,2,2,2,2,2,54
2218,CARVER MILITARY HS,609760.0,Service Leadership Academies,Race,Hispanic,11th Grade,2011.0,16.4,17.4,18.2,15.9,17.0,58,58,58,58,58,54
2269,CHICAGO ACADEMY HS,610340.0,AUSL,Race,Other,11th Grade,2011.0,,,,,,1,1,1,1,1,17
2270,CHICAGO ACADEMY HS,610340.0,AUSL,Race,White,11th Grade,2011.0,17.2,20.3,20.4,19.1,19.3,14,14,14,14,14,17
2271,CHICAGO ACADEMY HS,610340.0,AUSL,Race,Asian / Pacific,11th Grade,2011.0,,,,,,5,5,5,5,5,17
2272,CHICAGO ACADEMY HS,610340.0,AUSL,Race,Black,11th Grade,2011.0,16.1,17.5,17.4,16.5,16.9,24,24,24,24,24,17
2273,CHICAGO ACADEMY HS,610340.0,AUSL,Race,Hispanic,11th Grade,2011.0,17.9,19.2,18.7,18.2,18.5,54,54,54,54,54,17
2347,CHICAGO AGRICULTURE HS,609753.0,Network 10,Race,Hispanic,11th Grade,2011.0,20.8,21.2,21.4,20.4,20.9,13,13,13,13,13,74
2348,CHICAGO AGRICULTURE HS,609753.0,Network 10,Race,Other,11th Grade,2011.0,20.7,21.6,21.0,22.9,21.5,12,12,12,12,12,74
2349,CHICAGO AGRICULTURE HS,609753.0,Network 10,Race,Native American,11th Grade,2011.0,,,,,,2,2,2,2,2,74
2350,CHICAGO AGRICULTURE HS,609753.0,Network 10,Race,Black,11th Grade,2011.0,19.7,18.8,19.3,19.8,19.4,51,51,51,51,51,74
2351,CHICAGO AGRICULTURE HS,609753.0,Network 10,Race,White,11th Grade,2011.0,21.0,20.3,21.7,22.2,21.3,35,35,35,35,35,74
2418,CHICAGO MATH & SCIENCE HS,400035.0,Charter,Race,Asian / Pacific,11th Grade,2011.0,,,,,,6,6,6,6,6,1
2419,CHICAGO MATH & SCIENCE HS,400035.0,Charter,Race,Hispanic,11th Grade,2011.0,15.8,18.3,18.4,16.6,17.3,46,46,46,46,46,1
2420,CHICAGO MATH & SCIENCE HS,400035.0,Charter,Race,White,11th Grade,2011.0,,,,,,3,3,3,3,3,1
2421,CHICAGO MATH & SCIENCE HS,400035.0,Charter,Race,Black,11th Grade,2011.0,17.1,18.8,17.8,17.6,17.8,14,14,14,14,14,1
2422,CHICAGO MATH & SCIENCE HS,400035.0,Charter,Race,Other,11th Grade,2011.0,,,,,,4,4,4,4,4,1
2486,CHICAGO MILITARY HS,609754.0,Service Leadership Academies,Race,Hispanic,11th Grade,2011.0,17.4,17.7,18.0,18.5,17.9,21,21,21,21,21,35
2487,CHICAGO MILITARY HS,609754.0,Service Leadership Academies,Race,Black,11th Grade,2011.0,16.8,17.4,17.4,16.4,17.0,58,58,58,58,58,35
2488,CHICAGO MILITARY HS,609754.0,Service Leadership Academies,Race,White,11th Grade,2011.0,,,,,,2,2,2,2,2,35
2489,CHICAGO MILITARY HS,609754.0,Service Leadership Academies,Race,Other,11th Grade,2011.0,,,,,,9,9,9,9,9,35
2529,CHICAGO VIRTUAL,400036.0,Charter,Race,Hispanic,11th Grade,2011.0,,,,,,2,2,2,2,2,28
2530,CHICAGO VIRTUAL,400036.0,Charter,Race,Other,11th Grade,2011.0,,,,,,1,1,1,1,1,28
2531,CHICAGO VIRTUAL,400036.0,Charter,Race,White,11th Grade,2011.0,,,,,,2,2,2,2,2,28
2532,CHICAGO VIRTUAL,400036.0,Charter,Race,Black,11th Grade,2011.0,18.1,17.2,16.4,17.9,17.4,11,11,11,11,11,28
2587,CHICAGO VOCATIONAL HS,609674.0,Network 12,Race,Black,11th Grade,2011.0,14.4,14.7,15.3,12.9,14.3,185,185,185,185,185,45
2588,CHICAGO VOCATIONAL HS,609674.0,Network 12,Race,Hispanic,11th Grade,2011.0,,,,,,2,2,2,2,2,45
2589,CHICAGO VOCATIONAL HS,609674.0,Network 12,Race,Other,11th Grade,2011.0,,,,,,2,2,2,2,2,45
2616,CICS - ELLISON HS,400032.0,Charter,Race,Black,11th Grade,2011.0,15.9,16.6,16.4,15.9,16.2,125,125,125,125,125,71
2617,CICS - ELLISON HS,400032.0,Charter,Race,Hispanic,11th Grade,2011.0,,,,,,1,1,1,1,1,71
2628,CICS - HAWKINS HS,400108.0,Charter,Race,Black,11th Grade,2011.0,15.6,16.1,16.3,13.4,15.3,44,44,44,44,44,54
2629,CICS - HAWKINS HS,400108.0,Charter,Race,Hispanic,11th Grade,2011.0,,,,,,1,1,1,1,1,54
2654,CICS - LONGWOOD,400033.0,Charter,Race,Black,11th Grade,2011.0,16.3,16.8,16.9,16.0,16.5,159,159,159,159,159,73
2655,CICS - LONGWOOD,400033.0,Charter,Race,Hispanic,11th Grade,2011.0,,,,,,2,2,2,2,2,73
2702,CICS - NORTHTOWN HS,400034.0,Charter,Race,White,11th Grade,2011.0,20.5,19.4,20.4,21.5,20.4,52,52,52,52,52,13
2703,CICS - NORTHTOWN HS,400034.0,Charter,Race,Hispanic,11th Grade,2011.0,17.5,17.6,18.2,18.7,18.0,97,97,97,97,97,13
