SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date,Community
Vacant/Abandoned Building,12-00004116,01/02/2012,Front,,Open,,Vacant,True,False,412,W,116TH,ST,60628.0,1175575.1542086,1827992.89347256,34.0,5.0,53.0,41.683378752396976,-87.63291091631906,"(41.68337875239698, -87.63291091631906)",2012-01-02,53
Vacant/Abandoned Building,12-00004349,01/02/2012,Front,,Open,FRONT AND REAR. DOORS AND WINDOWS..,Vacant,False,True,4243,W,FILLMORE,ST,60624.0,1148262.36889507,1895030.65488296,24.0,11.0,29.0,41.8679072470766,-87.73117624941624,"(41.8679072470766, -87.73117624941624)",2012-01-02,29
Vacant/Abandoned Building,12-00004375,01/02/2012,Front,,Open,REAR,Vacant,False,False,300,W,106TH,ST,60628.0,1176102.74057082,1834638.9714203,34.0,5.0,49.0,41.701604794506395,-87.63078118427664,"(41.701604794506395, -87.63078118427664)",2012-01-02,49
Vacant/Abandoned Building,12-00004497,01/02/2012,Front,,Open,,Vacant,True,False,10051,S,LUELLA,AVE,60617.0,1193156.85148202,1838769.53572222,7.0,4.0,51.0,41.712540759039506,-87.56820090647636,"(41.71254075903951, -87.56820090647636)",2012-01-02,51
Vacant/Abandoned Building,12-00004588,01/02/2012,Garage,,Open,?,Vacant,False,False,12635,S,UNION,AVE,60628.0,1173953.57669254,1821085.46131852,9.0,5.0,53.0,41.66445965875821,-87.63905066120245,"(41.66445965875821, -87.63905066120246)",2012-01-02,53
Vacant/Abandoned Building,12-00005060,01/02/2012,Front,,Open,,Vacant,False,True,2333,W,MONROE,ST,60612.0,1160896.76421812,1899484.24719493,2.0,12.0,28.0,41.879875755170076,-87.68466937616915,"(41.879875755170076, -87.68466937616915)",2012-01-02,28
Vacant/Abandoned Building,12-00005064,01/02/2012,Front,,Open,,Vacant,False,True,3609,W,LEXINGTON,ST,60624.0,1152437.51202142,1896459.93052625,24.0,11.0,27.0,41.871747949136186,-87.71581067744957,"(41.87174794913619, -87.71581067744958)",2012-01-02,27
Vacant/Abandoned Building,12-00005082,01/02/2012,Front,,Open,,Occupied,False,True,720,S,CENTRAL PARK,AVE,60624.0,1152493.81202142,1896578.43052625,24.0,11.0,27.0,41.87207201453831,-87.71560084519491,"(41.87207201453831, -87.7156008451949)",2012-01-02,27
Vacant/Abandoned Building,12-00005936,01/03/2012,Front,,Open,REAR OPEN,Vacant,False,False,5330,S,SPAULDING,AVE,60632.0,1155284.6281047,1869088.2864297,14.0,8.0,63.0,41.796580112179896,-87.70609151088934,"(41.7965801121799, -87.70609151088934)",2012-01-03,63
Vacant/Abandoned Building,12-00006247,01/03/2012,Front,,Open,,Vacant,True,True,2949,E,80TH,PL,60617.0,1197435.29748861,1852172.10472543,7.0,4.0,46.0,41.749213109033924,-87.55208674682991,"(41.74921310903392, -87.5520867468299)",2012-01-03,46
Vacant/Abandoned Building,12-00007300,01/03/2012,Rear,,Open,REAR DOOR,Vacant,False,False,642,N,ARMOUR,ST,60642.0,1166056.01190127,1904490.62761618,27.0,13.0,24.0,41.89350507764001,-87.66558229889077,"(41.89350507764001, -87.66558229889077)",2012-01-03,24
Vacant/Abandoned Building,12-00007750,01/03/2012,Front,,Open,WHOLE BUILDING,Vacant,False,True,4334,W,JACKSON,BLVD,60624.0,1147540.6504672,1898334.4192796,28.0,11.0,26.0,41.87698703117662,-87.73374111186651,"(41.87698703117662, -87.73374111186652)",2012-01-03,26
Vacant/Abandoned Building,12-00007914,01/03/2012,,,,,,,,3360,W,CHICAGO,AVE,60651.0,1153759.54998971,1905129.89001605,27.0,11.0,23.0,41.89551299962119,-87.71072598106846,"(41.89551299962119, -87.71072598106845)",2012-01-03,23
Vacant/Abandoned Building,12-00008089,01/03/2012,,,,,,,,8218,S,MUSKEGON,AVE,60617.0,1196591.02177064,1851028.4770178,7.0,4.0,46.0,41.74609590235626,-87.55521833156655,"(41.74609590235626, -87.55521833156655)",2012-01-03,46
Vacant/Abandoned Building,12-00008410,01/03/2012,Front,,Open,,Vacant,False,False,429,N,CENTRAL,AVE,60644.0,1138963.25463375,1902357.2014223998,28.0,15.0,25.0,41.88818617772584,-87.76513739939169,"(41.88818617772584, -87.76513739939168)",2012-01-03,25
Vacant/Abandoned Building,12-00008471,01/03/2012,Rear,,Open,,Vacant,False,False,4530,S,LAKE PARK,AVE,60653.0,1185330.321217,1875217.9510080002,4.0,21.0,39.0,41.812745931591756,-87.59571903309727,"(41.81274593159176, -87.59571903309727)",2012-01-03,39
Vacant/Abandoned Building,12-00008500,01/03/2012,Front,,Open,DOOR,Vacant,False,False,8036,S,KINGSTON,AVE,60617.0,1194580.99569103,1852085.45737693,7.0,4.0,46.0,41.74904598365628,-87.56254865091174,"(41.74904598365628, -87.56254865091174)",2012-01-03,46
Vacant/Abandoned Building,12-00008510,01/03/2012,Front,,Open,,Vacant,False,False,400,W,116TH,ST,60628.0,1175707.3542086,1827996.09347256,34.0,5.0,53.0,41.68338458329833,-87.6324268847848,"(41.68338458329833, -87.63242688478482)",2012-01-03,53
Vacant/Abandoned Building,12-00008538,01/03/2012,Front,,Open,FRONT AND REAR DOORS,Vacant,False,True,11843,S,INDIANA,AVE,60628.0,1179704.47170566,1826375.75012872,9.0,5.0,53.0,41.67884795489462,-87.61784417816027,"(41.67884795489462, -87.61784417816027)",2012-01-03,53
Vacant/Abandoned Building,12-00008706,01/03/2012,Front,,Open,REAR DOOR,Vacant,False,True,2033,N,NAGLE,AVE,60707.0,1133088.2201063,1912843.53671853,36.0,25.0,19.0,41.91706676743181,-87.78646744193195,"(41.91706676743181, -87.78646744193196)",2012-01-03,19
Vacant/Abandoned Building,12-00008790,01/03/2012,Front,,Open,WHOLE BUILDING,Vacant,False,True,4148,W,GLADYS,AVE,60624.0,1148791.5921274999,1898031.72838877,28.0,11.0,26.0,41.87613234011589,-87.72915580770406,"(41.87613234011589, -87.72915580770407)",2012-01-03,26
Vacant/Abandoned Building,12-00008854,01/03/2012,Front,,Open,WHOLE BUILDING,Vacant,False,True,4108,W,GLADYS,AVE,60624.0,1149061.1921275,1898038.12838877,28.0,11.0,26.0,41.87614469047937,-87.72816575552814,"(41.87614469047937, -87.72816575552814)",2012-01-03,26
Vacant/Abandoned Building,12-00008921,01/03/2012,Front,,Open,WHOLE BUILDING,Vacant,False,True,4242,W,GLADYS,AVE,60624.0,1148164.97142235,1898016.8503168,28.0,11.0,26.0,41.87610359397479,-87.7314569461284,"(41.87610359397479, -87.7314569461284)",2012-01-03,26
Vacant/Abandoned Building,12-00009006,01/03/2012,Front,,Boarded,,Vacant,True,False,2911,W,SEIPP,ST,60652.0,1158417.11969525,1847752.88712744,18.0,8.0,70.0,41.73796929677741,-87.69518476522732,"(41.73796929677741, -87.69518476522732)",2012-01-03,70
Vacant/Abandoned Building,12-00009039,01/03/2012,Front,,Open,FRONT/REAR,Vacant,False,True,644,E,OAKWOOD,BLVD,60653.0,1181168.81378907,1878809.01318729,4.0,2.0,38.0,41.8226970872323,-87.61087258137405,"(41.8226970872323, -87.61087258137405)",2012-01-03,38
Vacant/Abandoned Building,12-00009079,01/03/2012,Rear,,Open,REAR DOOR,Vacant,False,False,955,N,KEYSTONE,AVE,60651.0,1149213.37360818,1906073.9550182,37.0,11.0,23.0,41.89819292664639,-87.72739865194514,"(41.89819292664638, -87.72739865194512)",2012-01-03,23
Vacant/Abandoned Building,12-00009309,01/03/2012,Front,,Open,WINDOWS,Vacant,False,True,8640,S,ADA,ST,60620.0,1168837.08649246,1847466.79570871,21.0,6.0,71.0,41.73696585412185,-87.65701671987226,"(41.736965854121856, -87.65701671987226)",2012-01-03,71
Vacant/Abandoned Building,12-00009352,01/03/2012,Front,,Open,,Vacant,False,True,7732,S,PEORIA,ST,60620.0,1171646.22981083,1853571.37356991,17.0,6.0,71.0,41.75365658860447,-87.64654637951631,"(41.75365658860447, -87.64654637951632)",2012-01-03,71
Vacant/Abandoned Building,12-00009355,01/03/2012,Front,,Open,,Vacant,False,True,7948,S,PARNELL,AVE,60620.0,1174010.79992958,1852199.55251725,17.0,6.0,44.0,41.74984001662275,-87.63792172972995,"(41.74984001662275, -87.63792172972995)",2012-01-03,44
Vacant/Abandoned Building,12-00009359,01/03/2012,Front,,Open,,Vacant,False,True,7350,S,UNION,AVE,60621.0,1172895.77001018,1856476.7416246003,17.0,7.0,68.0,41.76160181673985,-87.64188169343487,"(41.76160181673985, -87.64188169343487)",2012-01-03,68
Vacant/Abandoned Building,12-00009367,01/03/2012,Front,,Open,,Vacant,False,True,7560,S,PARNELL,AVE,60620.0,1173856.13003072,1854770.10057442,17.0,6.0,69.0,41.75689734914296,-87.63841242095286,"(41.75689734914296, -87.63841242095286)",2012-01-03,69
Vacant/Abandoned Building,12-00009373,01/03/2012,Front,,Open,,Vacant,False,True,2238,W,69TH,ST,60636.0,1162438.26071929,1858861.15780467,17.0,8.0,66.0,41.76836926988903,-87.68014322773287,"(41.76836926988903, -87.68014322773288)",2012-01-03,66
Vacant/Abandoned Building,12-00009378,01/03/2012,Front,,Open,,Vacant,False,True,7948,S,UNION,AVE,60620.0,1173013.54701552,1852175.23957817,17.0,6.0,71.0,41.74979535869864,-87.64157679619207,"(41.749795358698634, -87.64157679619208)",2012-01-03,71
Vacant/Abandoned Building,12-00009511,01/03/2012,Front,,Open,,Vacant,False,False,5233,W,LEXINGTON,ST,60644.0,1141603.07360064,1896125.09277938,29.0,15.0,25.0,41.87103610940496,-87.75559700380138,"(41.871036109404955, -87.75559700380137)",2012-01-03,25
Vacant/Abandoned Building,12-00009922,01/03/2012,Front,,Boarded,REAR,Vacant,False,True,438,E,91ST,PL,60619.0,1180773.2696699,1844405.46998309,6.0,6.0,44.0,41.72829949141855,-87.61338026412008,"(41.72829949141855, -87.61338026412008)",2012-01-03,44
Vacant/Abandoned Building,12-00010035,01/03/2012,Front,,Open,,Vacant,False,False,7663,S,EXCHANGE,AVE,60649.0,1196083.43979953,1854630.18619729,7.0,4.0,43.0,41.75599184389645,-87.55695909408588,"(41.75599184389645, -87.55695909408588)",2012-01-03,43
Vacant/Abandoned Building,12-00010402,01/03/2012,Front,,Open,OPEN IN FRONT AND BACK AND IS DANGEROUS TO THE COMMUNITY,Vacant,False,True,7049,S,DAMEN,AVE,60636.0,1164245.09282177,1857820.75010723,17.0,7.0,67.0,41.765476402790654,-87.67354954304884,"(41.765476402790654, -87.67354954304884)",2012-01-03,67
Vacant/Abandoned Building,12-00010413,01/03/2012,Front,,Open,OPEN IN THE FRONT AND BACK OF THE HOUSE.  VERY DANGEROUS.,Vacant,False,True,7041,S,DAMEN,AVE,60636.0,1164244.09282177,1857859.85010723,17.0,7.0,67.0,41.76558371965247,-87.6735521090818,"(41.76558371965247, -87.6735521090818)",2012-01-03,67
Vacant/Abandoned Building,12-00010444,01/03/2012,Front,,Open,OPEN IN THE FRONT AND THE BACK AND VERY DANGEROUS TO THE COMMUNITY.,Vacant,False,True,7020,S,WINCHESTER,AVE,60636.0,1164568.22231894,1858112.59287766,17.0,7.0,67.0,41.766270451836384,-87.67235694654043,"(41.76627045183638, -87.67235694654043)",2012-01-03,67
Vacant/Abandoned Building,12-00011311,01/03/2012,Front,,Open,,Vacant,True,False,3200,W,64TH,ST,60629.0,1156153.49710478,1862011.89312704,15.0,8.0,66.0,41.777144027531186,-87.70309547581867,"(41.77714402753119, -87.70309547581867)",2012-01-03,66
Vacant/Abandoned Building,12-00011620,01/04/2012,Front,,Open,,Vacant,False,False,6958,S,WOLCOTT,AVE,60636.0,1164888.8854911998,1858527.85138153,17.0,7.0,67.0,41.7674032098764,-87.67116987820086,"(41.7674032098764, -87.67116987820086)",2012-01-04,67
Vacant/Abandoned Building,12-00012003,01/04/2012,Front,,Open,,Vacant,False,False,6837,S,MARSHFIELD,AVE,60636.0,1166521.29013354,1859368.39430506,17.0,7.0,67.0,41.76967512930257,-87.66516246915012,"(41.76967512930257, -87.66516246915013)",2012-01-04,67
Vacant/Abandoned Building,12-00012015,01/04/2012,Front,,Open,,Vacant,False,False,7020,S,MARSHFIELD,AVE,60636.0,1166555.6900095,1858156.36999476,17.0,7.0,67.0,41.76634844056157,-87.66507089226309,"(41.766348440561565, -87.6650708922631)",2012-01-04,67
Vacant/Abandoned Building,12-00012027,01/04/2012,Front,,Open,,Vacant,False,False,7221,S,MARSHFIELD,AVE,60636.0,1166591.89009789,1856823.72526689,17.0,7.0,67.0,41.76269071281078,-87.66497615949854,"(41.76269071281078, -87.66497615949854)",2012-01-04,67
Vacant/Abandoned Building,12-00012081,01/04/2012,Front,,Open,,Vacant,False,False,7052,S,MORGAN,ST,60621.0,1170862.51383097,1858060.70280923,17.0,7.0,68.0,41.76599301241921,-87.6492875955888,"(41.76599301241921, -87.6492875955888)",2012-01-04,68
Vacant/Abandoned Building,12-00012109,01/04/2012,Rear,,Open,,Vacant,False,False,1017,W,MARQUETTE,RD,60621.0,1170616.87368199,1860391.42051327,17.0,7.0,68.0,41.77239414682636,-87.65012009019236,"(41.77239414682636, -87.65012009019236)",2012-01-04,68
Vacant/Abandoned Building,12-00012120,01/04/2012,Front,,Open,,Vacant,False,False,6720,S,CARPENTER,ST,60621.0,1170471.17368199,1860253.22051327,17.0,7.0,68.0,41.77201808405029,-87.65065820507328,"(41.77201808405029, -87.65065820507328)",2012-01-04,68
Vacant/Abandoned Building,12-00012172,01/04/2012,Front,,Open,REAR DOOR,Vacant,False,False,4155,W,78TH,PL,60652.0,1150007.24731883,1852113.24457129,13.0,8.0,70.0,41.750101880627156,-87.72588406569612,"(41.75010188062716, -87.72588406569612)",2012-01-04,70
Vacant/Abandoned Building,12-00012259,01/04/2012,Front,,Open,FRONT,Vacant,False,True,237,W,108TH,PL,60628.0,1176625.24939826,1832991.46029058,34.0,5.0,49.0,41.69707207302599,-87.62891727068278,"(41.69707207302599, -87.62891727068278)",2012-01-04,49
Vacant/Abandoned Building,12-00012528,01/04/2012,Front,,Open,,Vacant,True,False,2843,W,CONGRESS,PKWY,60612.0,1157500.76522444,1897641.74258097,2.0,11.0,27.0,41.874889499220146,-87.69718920750248,"(41.87488949922014, -87.69718920750248)",2012-01-04,27
Vacant/Abandoned Building,12-00012681,01/04/2012,Front,,Open,"FRONT, REAR,",Vacant,False,True,954,N,PULASKI,RD,60651.0,1149548.08631354,1906076.46359139,37.0,11.0,23.0,41.89819331684054,-87.72616920442131,"(41.89819331684054, -87.72616920442132)",2012-01-04,23
Vacant/Abandoned Building,12-00013731,01/04/2012,Rear,,Open,,Vacant,True,False,4446,S,GREENWOOD,AVE,60653.0,1184334.18410367,1875698.32006906,4.0,21.0,39.0,41.814087503373635,-87.59935778082796,"(41.81408750337363, -87.59935778082796)",2012-01-04,39
Vacant/Abandoned Building,12-00013790,01/04/2012,Front,,Open,WHOLE BUILDING,Vacant,False,True,29,N,LOTUS,AVE,60644.0,1139954.61997664,1899694.18942211,28.0,15.0,25.0,41.88086046409191,-87.7615618698195,"(41.88086046409191, -87.76156186981952)",2012-01-04,25
Vacant/Abandoned Building,12-00013835,01/04/2012,Front,,Open,WHOLE BUILDING,Vacant,False,True,1147,S,FRANCISCO,AVE,60612.0,1157198.62420904,1894924.68608422,28.0,11.0,29.0,41.86743976068506,-87.69837234023329,"(41.86743976068506, -87.69837234023328)",2012-01-04,29
Vacant/Abandoned Building,12-00013861,01/04/2012,Front,,Open,WHOLE BUILDING,Vacant,False,True,1146,S,FRANCISCO,AVE,60612.0,1157198.42420904,1894931.38608422,28.0,11.0,29.0,41.86745815023484,-87.69837289253297,"(41.86745815023484, -87.69837289253299)",2012-01-04,29
Vacant/Abandoned Building,12-00013870,01/04/2012,Front,,Open,WHOLE BUILDING,Vacant,False,True,1118,S,FRANCISCO,AVE,60612.0,1157193.42420904,1895119.38608422,28.0,11.0,29.0,41.86797414306778,-87.69838614344637,"(41.867974143067784, -87.69838614344637)",2012-01-04,29
Vacant/Abandoned Building,12-00013884,01/04/2012,Front,,Open,WHOLE BUILDING,Vacant,False,True,1116,S,FRANCISCO,AVE,60612.0,1157193.02420904,1895132.88608422,28.0,11.0,29.0,41.86801119657415,-87.69838724534391,"(41.86801119657415, -87.69838724534392)",2012-01-04,29
Vacant/Abandoned Building,12-00013898,01/04/2012,Front,,Open,WINDOWS,Vacant,False,True,6032,W,MELROSE,ST,60634.0,1135602.4277153,1920981.38996606,36.0,16.0,17.0,41.93935359303134,-87.77703609967523,"(41.93935359303134, -87.77703609967524)",2012-01-04,17
Vacant/Abandoned Building,12-00014560,01/04/2012,Rear,,Open,,Vacant,False,False,8245,S,BUFFALO,AVE,60617.0,1199579.17012792,1850748.75558967,7.0,4.0,46.0,41.74525365585965,-87.54427877630768,"(41.74525365585965, -87.54427877630768)",2012-01-04,46
Vacant/Abandoned Building,12-00014724,01/04/2012,Front,,Open,WHOLE BUILDING,Vacant,False,True,3838,W,GLADYS,AVE,60624.0,1150849.72547014,1898081.33151571,28.0,11.0,26.0,41.87622845226609,-87.72159769730726,"(41.87622845226609, -87.72159769730727)",2012-01-04,26
Vacant/Abandoned Building,12-00014934,01/04/2012,Front,,Open,,Vacant,False,False,7503,S,PEORIA,ST,60620.0,1171605.88208568,1855024.87826572,17.0,6.0,71.0,41.75764607529531,-87.64665172393333,"(41.75764607529531, -87.64665172393335)",2012-01-04,71
Vacant/Abandoned Building,12-00014991,01/04/2012,Front,,Open,REAR,Vacant,False,False,5230,S,JUSTINE,ST,60609.0,1166891.16541693,1870043.24957846,16.0,9.0,61.0,41.79896036187335,-87.66350184071008,"(41.79896036187334, -87.6635018407101)",2012-01-04,61
Vacant/Abandoned Building,12-00015174,01/04/2012,Front,,Open,FRONT AND BACK DOORS ARE OPEN,Vacant,False,True,6650,S,MICHIGAN,AVE,60637.0,1178083.38163371,1860938.93712637,20.0,3.0,69.0,41.773730564926254,-87.62273358795011,"(41.77373056492626, -87.62273358795011)",2012-01-04,69
Vacant/Abandoned Building,12-00015419,01/04/2012,Rear,,Open,2 REAR DOORS ARE OPEN & BROKEN WINDOWS -,Vacant,False,False,6152,S,ABERDEEN,ST,60621.0,1170036.83769972,1864004.62466683,16.0,7.0,68.0,41.7823218401556,-87.6521414156918,"(41.782321840155596, -87.65214141569179)",2012-01-04,68
Vacant/Abandoned Building,12-00015454,01/04/2012,Rear,,Open,,Vacant,False,True,832,E,65TH,ST,60637.0,1183023.48807432,1862095.86582238,20.0,3.0,42.0,41.77679184767385,-87.60458844655037,"(41.77679184767384, -87.60458844655038)",2012-01-04,42
Vacant/Abandoned Building,12-00015606,01/04/2012,Rear,,Open,,Vacant,False,True,616,N,RIDGEWAY,AVE,60624.0,1151277.37252466,1903848.10799096,27.0,11.0,23.0,41.892044725359966,-87.71987615193243,"(41.89204472535997, -87.71987615193243)",2012-01-04,23
Vacant/Abandoned Building,12-00016011,01/04/2012,Rear,,Open,REAR,Vacant,False,True,6420,S,ST LAWRENCE,AVE,60637.0,1181338.11810134,1862573.35939701,20.0,3.0,42.0,41.77814116171544,-87.61075217867923,"(41.77814116171544, -87.61075217867923)",2012-01-04,42
Vacant/Abandoned Building,12-00016656,01/04/2012,Rear,,Open,,Vacant,False,True,6218,S,VERNON,AVE,60637.0,1180319.00561833,1863881.6041809,20.0,3.0,42.0,41.78175455082392,-87.61444815567579,"(41.78175455082392, -87.6144481556758)",2012-01-04,42
Vacant/Abandoned Building,12-00016989,01/04/2012,Front,,Open,FRONT,Vacant,True,False,5107,S,CARPENTER,ST,60609.0,1170180.74627064,1870947.54963399,16.0,9.0,61.0,41.80137088420208,-87.65141190022213,"(41.80137088420208, -87.65141190022212)",2012-01-04,61
Vacant/Abandoned Building,12-00017002,01/04/2012,Garage,,Open,BACK,Vacant,True,False,2724,W,42ND,ST,60632.0,1158802.70041488,1876698.16022047,12.0,9.0,58.0,41.81739142257054,-87.69298239890024,"(41.81739142257054, -87.69298239890023)",2012-01-04,58
Vacant/Abandoned Building,12-00017052,01/04/2012,Front,,Open,FRONT DOOR AND BACK DOOR,Vacant,False,True,6340,S,SEELEY,AVE,60636.0,1163785.29099619,1862590.50419514,15.0,7.0,67.0,41.77857492374125,-87.67510106538424,"(41.77857492374125, -87.67510106538424)",2012-01-04,67
Vacant/Abandoned Building,12-00017498,01/04/2012,Front,,Boarded,FIRST FLOOR WINDOW,Vacant,False,False,2958,E,90TH,ST,60617.0,1197462.06632604,1845860.73647815,10.0,4.0,46.0,41.73189356096397,-87.55219858186918,"(41.73189356096397, -87.55219858186919)",2012-01-04,46
Vacant/Abandoned Building,12-00017620,01/04/2012,Front,,Open,,Vacant,False,True,4224,W,ADAMS,ST,60624.0,1148264.20607873,1898676.14009933,28.0,11.0,26.0,41.87791085109113,-87.73107560163417,"(41.877910851091144, -87.73107560163419)",2012-01-04,26
Vacant/Abandoned Building,12-00017643,01/04/2012,Front,,Open,REAR,Vacant,False,True,3916,W,ROOSEVELT,RD,60624.0,1150565.87930845,1894426.86536963,24.0,11.0,29.0,41.866205727617434,-87.72273533883545,"(41.86620572761744, -87.72273533883545)",2012-01-04,29
Vacant/Abandoned Building,12-00018524,01/05/2012,,,,,,,,6521,S,RHODES,AVE,60637.0,1181022.54671262,1861894.30330124,20.0,3.0,42.0,41.77628503643253,-87.61192994836095,"(41.776285036432526, -87.61192994836095)",2012-01-05,42
Vacant/Abandoned Building,12-00018535,01/05/2012,Front,,Open,,Vacant,False,False,7333,S,WINCHESTER,AVE,60636.0,1164625.44808964,1856034.79089017,17.0,7.0,67.0,41.76056746808479,-87.67220572761265,"(41.76056746808479, -87.67220572761265)",2012-01-05,67
Vacant/Abandoned Building,12-00018696,01/05/2012,Front,,Open,,Vacant,False,False,7641,S,MAY,ST,60620.0,1169976.50988378,1854128.47250342,17.0,6.0,71.0,41.75522175473578,-87.65264915218852,"(41.75522175473577, -87.65264915218852)",2012-01-05,71
